Unit Number,Notes,Model,Serial Number
ADMX 4553,blt 5/57 as CRI&P 1320,GP9,22806
ADMX 4554,"ex-RI 1317, 4483, CNW 4554",GP9,22803
ADMX 4559,blt 3/57 as Grand Trunk 4559,GP9,22835
ADMX 4607,Ex-CV,GP9,22839
ADMX 7001,Ex-ATSF,CF7,13790
ADMX 7012,blt 6/52 as GTW 7012,SW9,11167
ADMX 7017,Ex-GTW,SW1200,20381
ADMX 7118,,S3,
ADMX 7264,ex-GTW,SW900,24975
ADMX 7526,,GP10,22688
ADMX 7565,Ex Conrail Ex EIRC,GP10,
ADMX 7567,"ex-CR, exx-PC, nee-PRR",GP10,23330
ADMX 7571,"GP10; Ex. NYC 5940, PC 7571",GP9,20929
ADMX 7571,blt 12/56 as NYC GP9 5940,GP10,20929
ADMX 7577,ex con nee PRR 7066,GP10,21871
ADMX 7586,Ex-PRR,GP10,24290
ADMX 7596,,GP10,24313
ADMX 8016,blt 2/60 as GTW GP18 4705,GP10,25737
ADMX 8089,,GP10,
ADMX 8200,,SD40-2,776088-78
ADMX 8217,Ex IC,GP10,22340
ADMX 8316,EX IC same number,GP10,15248
ADMX 8401,"EMD 20290, 3/55, 5383-9, ex-IC",GP10,20290
ADMX 8406,,GP10,
ADMX 8407,,GP10,
ADMX 8411,ex-IC,GP10,22334
ADMX 8463,,GP10,12301
ADMX 8682,"At Kershaw, SC location for th",SW8,14493
ADMX 9012,blt 6/52 as GTW 7012,SW9,11167
ADMX 9016,Ex-Erie,SW9,16174
ADMX 9020,blt 4/59 as Pickering Lumber 104,SW900,25343
ADMX 9335,,SW1200,24148
ADMX 9337,blt 11/57 as PRR 7918,SW1200,24150
ADMX 9370,blt 2/56 as New Haven 647,SW1200,21172
ADMX 9375,,SW1200,21475
ADMX 9495,Ex-BN,SD40-2,A3794
ADMX 12001,,NW2R,1696
ADMX 12007,"ex-MTR 82, ex-Ford 12007",SW9,17431
ADMX 29063,blt 6/47 as Whiting Machine Works #2,65Tonner,29063
