The Helm Project (HELM),,,,,,
Road No.,Model,Date,,,,
3875-3878,GP38M-2,"--. 3/67, 8/68",,,,
"3883, 84, 88 & 89",GP38M-2,2/5/1973,,,,
"--, 71702-37",3893 & (3894),#3894 sold is ex-HLCX 346 < UP 346 < UP 1846 < HATX 216 < UP/MP 2110 < nee MP GP38 959,,,,
3950-52,GP39-2,Oct-78,,,,
3953,GP39M-3,Jun-69,,,,
"4000, 4002 & 4003",GP40,"12, 10, 9/66",,,,
4001,GP40,Jan-67,,,,
4050-4055,GP40,3/4/1966,,,,
"4057, 4060-4062",SD40,Jan-70,,,,
4066 & 4069,SD40,Jan-70,,,,
4200 & 4201,GP40-2,"1/67, 10/66",,,,
4202,GP40-2,May-74,,,,
4203-4205,GP40-2,"7/67; 3, 7/71",,,,
4208,GP40-2,Oct-84,,,,
4210,GP40-2,Nov-84,,,,
4212,GP40-2,Oct-84,,,,
4215 & 4216,GP40-2,Nov-84,,,,
4213 & 4219,GP40-2,Oct-84,,,,
"4220, 4224 & 4225",GP40-2,"1, 9/67, 9/71",,,,
4221 & 4222,GP40-2,Dec-77,,,,
4275,GP40-2,Dec-77,,,,
4290-4292,GP40-2LW,Mar-76,,,,
4300,GP40X / GP40,Feb-78,,,,
4301 & 4302,GP40X / GP40,"9/66, 10/67",,,,
4400--4401,GP40-3,"9/68, 10/67",,,,
4402-4403,GP40-3,"7/71, 2/70",,,,
4404-4407,GP40-3,12/68; 10-11/67,,,,
4408-4411,GP40-3,Nov-68,,,,
4412-4414,GP40-3,Oct-67,,,,
4415 & 4416,GP40-3,"7/71, 10/66",,,,
4509?,GP9,--,,,,
4873,GP38-2,Sep-72,,,,
5000,SD40,Sep-71,,,,
5001-5003,SD40,"5/71, 4/70",,,,
5004-5006,SD40,Jul-72,,,,
5007-5009,SD40,Jul-72,,,,
5010 & 5011,SD40,"1/69, 3/666",,,,
5015,SD40,Mar-66,,,,
"5016, 5019 & 5020",SD40,"3,3,2/66",,,,
5019(2ND)-5023(2ND),SD40,Jan-70,,,,
5021-5023,SD40,"12/70, -, 12/70",,,,
5024 & 5025,SD40,"1/71, 2/66",,,,
5026 & 5027,SD40,Dec-70,,,,
5028-5031,SD40,Dec-70,,,,
5032-5034,SD40,Jan-71,,,,
5035-5037,SD40,"5/67, 2/66",,,,
5038-5040,SD40,Feb-66,,,,
5041-5044,SD40,Feb-66,,,,
5045-5047,SD40,Mar-66,,,,
"5048, 5054",SD40,"3, 7/66",,,,
"5055, 56, 57 & 59",SD40,4/70; 7/72,,,,
5060-5062,SD40,5/68; 12/71,,,,
5063 & 5064,SD40,Nov-71,,,,
5065,SD40,Jan-72,,,,
5070-5089,SD40,--,,,,
5113 & 5126,C30-7,Jul-80,,,,
5500-5509,C30-7,Dec-76,,,,
"5951, 5953-55 5958",SD60,8/9/1986,,,,
5962-64 & 5966-69,SD60,9/10/1986,,,,
"5971, 5974 & 5977",SD60,Aug-86,,,,
"5983, 5984 & 5986",SD60,8/9/1986,,,,
"5983-84, 86, 91-4, 98",SD60,9/10/1986,,,,
6000,SD40M-3,May-74,,,,
6050 & 6052,SD40M-3,Mar-66,,,,
6051 & 6053,SD40M-3,Jan-70,,,,
6054 & 6055,SD40M-3,"9/71, 4/70",,,,
6056-6058,SD40M-3,"11, 10/66, 3/67",,,,
6059 & 6062,SD40M-3,"8, 2/71",,,,
6060,SD40M-3,Oct-66,,,,
6061 & 6063-6065,SD40M-3,Feb-66,,,,
"6066, 6068 & 6069",SD40M-3,Feb-66,,,,
6067 & 6070,SD40M-3,"5/67, 1/69",,,,
6071 & 6073,SD40M-3,"4, 1/70",,,,
"6072, 6074 & 6078",SD40M-3,"3,2,3/66",,,,
"6075, 6076 & 6081",SD40M-3,9/10/1971,,,,
6077,SD40M-3,Oct-71,,,,
6079 & 6080,SD40M-3,Jan-70,,,,
6082,SD40M-3,Nov-66,,,,
"6083, 6084 & 6086",SD40M-3,Mar-66,,,,
6085,SD40M-3,Nov-71,,,,
6090-6092,SD40M-3,"4/70, 9/71, 4/70",,,,
6100,SD40M-3,Oct-71,,,,
6101,SD40T-2,Feb-79,,,,
6102-6104,SD40T-2,Jun-74,,,,
6105-6106,SD40T-2,Jun-74,,,,
6105-6106,SD40T-2,Jun-74,,,,
6107,SD40T-2,Jan-78,,,,
6108 & 6109,SD40T-2,Mar-78,,,,
6110,SD40T-2,Jun-78,,,,
6111-6114,SD40T-2,1/2/1978,,,,
6115 & 6116,SD40T-2,"12/78, 1/79",,,,
6124-28,SD40T-2,Feb-78,,,,
6129,SD40T-2,Jan-78,,,,
6130-6132,SD40T-2,Jun-74,,,,
6133-6138,SD40T-2,Feb-78,,,,
6139-6141,SD40T-2,"12/78, 1/79",,,,
6142-6150,SD40T-2,Jan-77,,,,
6151,SD40T-2,Jul-74,,,,
6152-6154,SD40T-2,"3, 2/78",,,,
6155,SD40T-2,Feb-79,,,,
6156 & 6157,SD40T-2,Jun-74,,,,
6158-6160,SD40T-2,"3, 2/78",,,,
6162 & 6197,SD40T-2,--,,,,
6200 & 6201,SD40-2,"2/74, 8/71",,,,
6202 & 6203,SD40-2,"6/71, 3/73",,,,
6202(2nd),SD40M-2,Mar-78,,,,
6204-6210,SD40M-2,Nov-78,,,,
"6211-6213, 6215",SD40M-2,May-74,,,,
6214,SD40M-2,Feb-66,,,,
6216,SD40M-2,Apr-72,,,,
6217-6221,SD40M-2,3/4/1973,,,,
6222-6224,SD40M-2,"10/67, 1-/66, 1/70",,,,
6225-27 & 6229,SD40M-2,4/72; 4/73; 10/77,,,,
6228,SD40M-2,Jul-72,,,,
"6230, 36, 39 & 40",SD40M-2,3/4/1977,,,,
6231 & 6237,SD40M-2,May-78,,,,
6232 & 6241,SD40M-2,Nov-80,,,,
6233,SD40M-2,Sep-81,,,,
6234,SD40M-2,Apr-80,,,,
6235,SD40M-2,May-77,,,,
"6242-43, 45-47",SD40M-2,May-74,,,,
6244,SD40M-2,0.108108108,,,,
6248 & 6249,SD40M-2,"4/80, 8/78",,,,
6250 & 6251,SD40M-2,"5/79, --",,,,
6252 & 6253,SD40M-2,"7/80, 2/74",,,,
6254,SD40M-2,Sep-78,,,,
6255,SD40M-2,Feb-75,,,,
6256 & 6257,SD40M-2,"8, 1/79",,,,
6258,SD40M-2,Sep-76,,,,
6296-6299,SD40M-2,10/11/1978,,,,
6300-6302,SD40M-2,"9/71, 3/55, 3/67",,,,
6303-6305,SD40M-2,"2/68, 3/66. 3/67",,,,
"6306, 6307 & 6313",SD40M-2,"12/69, 5/71, 2/72",,,,
6308-6310,SD40M-2,"1/69, 7/70, 2/68",,,,
6311 & 6312,SD40M-2,Dec-71,,,,
"6314, 6315 & 6319",SD40M-2,"7, 10/66; 6/71",,,,
6317 & 6318,SD40M-2,"2/66, 10/67",,,,
"6320, 6321 & 6325",SD40M-2,"3, 10/66; 8/71",,,,
"6326, 6327 & 6330",SD40M-2,Jan-71,,,,
"6328, 6329 & 6331",SD40M-2,12/70; 12/71,,,,
6332-6336,SD40M-2,1/3/1966,,,,
6337-6341,SD40M-2,1/6/1966,,,,
6359-6362,SD40M-2,May-74,,,,
6363-6370,SD40M-2,5/74/th>,,,,
6384-6388,SD40M-2,May-74,,,,
6399,SD40M-2,Mar-65,,,,
6400-6402,SD40M-2,"12/67, 1/70, 2/69",,,,
6403-6405,SD40M-2,"4, 2/67, 2/69",,,,
6406-6407,SD40M-2,"8/66, 8/74",,,,
6408-6410,SD40M-2,-0.067567568,,,,
6411 & 6412,SD40M-2,-0.067567568,,,,
"6414, 6417 & 6421",GP40-2,Oct-73,,,,
6422 & 6423,GP40-2,Nov-79,,,,
6425,SD40M-2,--,,,,
6429,SD40M-2,May-72,,,,
6435-6437,SD40M-2,4/68; /66,,,,
6445 & 6466,SD40M-2,"4/67, 1/69",,,,
6450 and 6451,SD40M-2,Aug-74,,,,
6450 and 6451,SD40M-2,--,,,,
6500(1st) & 6500(2nd),SD40M-2,"5/74, 1/68",,,,
6501-6503,SD40M-2,1/68; 7/70,,,,
6504-6506,SD40M-2,1/68;,,,,
6507-6509,SD40M-2,"8/71, 7/68, 1/69",,,,
6510,SD40M-2,Jun-71,,,,
6511-6513,SD40M-2,"10/68, 11/66, 1/68",,,,
6514-6516,SD40M-2,"1/68, 7/70, 9/68",,,,
6517-6520,SD40M-2,Oct-71,,,,
6521 & 6522,SD40M-2,"10/71, 4/68",,,,
6523-6525,SD40M-2,"10/66, 3/68, 1/767",,,,
6536 & 6550,SD40M-2,"8/71, 3/70",,,,
6557 & 6567,SD40M-2,Dec-71,,,,
6600,SD40M-2,Jan-68,,,,
"6613, 6681 & 6695",SD40M-2,"8, 9, 12/69",,,,
6700-6709,C30-7,Nov-77,,,,
6844 & 6846,SD40-2,Jul-78,,,,
6900 and 6902,C36-7E / C36-M,"12/78, 5/79",,,,
6901,C36-7E / C36-M,Oct-79,,,,
6964,SD40,Jan-70,,,,
"6973, 6997, 6998",SD40,"6/68, 11-12/71",,,,
[7000 & 7002],SD45,Jul-70,,,,
[7001 & 7005],SD45,"1/69, 4/68",,,,
[7003 & 7004],SD45,"9, 10/71",,,,
[7006 & 7007],SD45,"9/69, 2/70",,,,
[7008-7010],SD45,"12,9,6/66",,,,
"The above 7000 series locos were assigned #s, but locos sold to WC before #s applied",SD45,,,,,
7003 & 7008-09,SD40-2,11/12/1977,,,,
7011,SD40-2,Jul-70,,,,
7026 & 7028,SD40-2,Dec-77,,,,
7070,SD40-2,Jul-78,,,,
7075-7084,SD40-2,Oct-78,,,,
7087-93,SD40-2,Oct-78,,,,
7095 & 7097-7125,SD40-2,11/12/1978,,,,
"7149, 56, 59 & 61",SD40-2,2/4/1979,,,,
7167-7169,SD40-2,Sep-79,,,,
7171-7183,SD40-2,Sep-79,,,,
