0,1,2,3,4
"906-908 -- -- Ex-GTW 7265, 7268 & 7266","-- -- Ex-GTW 7265, 7268 & 7266","-- Ex-GTW 7265, 7268 & 7266","Ex-GTW 7265, 7268 & 7266",
909 & 10 -- -- Ex-YS&T 904 & 901,-- -- Ex-YS&T 904 & 901,-- Ex-YS&T 904 & 901,Ex-YS&T 904 & 901,
911-912 -- -- Ex-?? and Buick 792,-- -- Ex-?? and Buick 792,-- Ex-?? and Buick 792,Ex-?? and Buick 792,
913-914 -- -- SW8m; ex-P&BR 105 and Buick ??,-- -- SW8m; ex-P&BR 105 and Buick ??,-- SW8m; ex-P&BR 105 and Buick ??,SW8m; ex-P&BR 105 and Buick ??,
"916, 17 & 19 ??, ?? & 24486 ??, ??, 1/58 Ex-?? , ?? & River Terminal 100","??, ?? & 24486 ??, ??, 1/58 Ex-?? , ?? & River Terminal 100","??, ??, 1/58 Ex-?? , ?? & River Terminal 100","Ex-?? , ?? & River Terminal 100",
SW8 (EMD) 920 & 921 -- -- --,920 & 921 -- -- --,-- -- --,-- --,--
922 -- -- --,-- -- --,-- --,--,
"S2 / S4 (Alco) 1001-1003 78211, 78233, 78408 9,9,10/50 S4; ex-Clinchfield 3034, 3039 & 3049 < nee D&H 3034, 3039 & 3049","1001-1003 78211, 78233, 78408 9,9,10/50 S4; ex-Clinchfield 3034, 3039 & 3049 < nee D&H 3034, 3039 & 3049","78211, 78233, 78408 9,9,10/50 S4; ex-Clinchfield 3034, 3039 & 3049 < nee D&H 3034, 3039 & 3049","9,9,10/50 S4; ex-Clinchfield 3034, 3039 & 3049 < nee D&H 3034, 3039 & 3049","S4; ex-Clinchfield 3034, 3039 & 3049 < nee D&H 3034, 3039 & 3049"
"1004 & 1009 77157, 77158 10/49 Ex-KCT 58 & 59","77157, 77158 10/49 Ex-KCT 58 & 59",10/49 Ex-KCT 58 & 59,Ex-KCT 58 & 59,
"1005 & 1006 73617, 73618 8/45 Ex-KCT 53 & 57","73617, 73618 8/45 Ex-KCT 53 & 57",8/45 Ex-KCT 53 & 57,Ex-KCT 53 & 57,
"1007, 1010 78031, 78231 9/50 S4; ex-D&H 3035 & 3037","78031, 78231 9/50 S4; ex-D&H 3035 & 3037",9/50 S4; ex-D&H 3035 & 3037,S4; ex-D&H 3035 & 3037,
"1008 & 1011 76512, 70271 12/48, 4/43 Ex-Relco 808 and CB&Q 9300","76512, 70271 12/48, 4/43 Ex-Relco 808 and CB&Q 9300","12/48, 4/43 Ex-Relco 808 and CB&Q 9300",Ex-Relco 808 and CB&Q 9300,
"1012-1014 --, 11, 75659 3/48 Ex-??, ?? & MPT 12","--, 11, 75659 3/48 Ex-??, ?? & MPT 12","3/48 Ex-??, ?? & MPT 12","Ex-??, ?? & MPT 12",
