,Company Name,Reporting Mark,Reporting Number,index,Unit Number,Notes,Model,Serial Number,HP
48,0.0,0.0,0.0,3,ABEX 9565,"ex-DBGX, CSXT, BO, CO, CSS, CO",NW2,10386,1000.0
49,0.0,0.0,0.0,0,ABRX 725,ex-MAL; nee-B&LE,F7A,17909,1500.0
50,0.0,0.0,0.0,1,ABRX 1201,Built as MN&S 31 in 09/61,SW1200,27508,1200.0
51,0.0,0.0,0.0,2,ABRX 1512,"Ex Coe Rail, nee GTW 1512. Sold to GLLX",SW1200,25744,1200.0
52,0.0,0.0,0.0,0,ACAX V-184,,80Tonner,,
53,0.0,0.0,0.0,0,ACBX 103,Ex-BS 82,HH600,68788,600.0
54,0.0,0.0,0.0,1,ACBX 106,,MP15DC,,1500.0
55,0.0,0.0,0.0,2,ACBX 107,ex-BRC 535. Sold to MVPX,MP15DC,796302-1,1500.0
56,0.0,0.0,0.0,3,ACBX 108,,MP15,,
57,0.0,0.0,0.0,0,ACCX 1,,GP9,,1750.0
58,0.0,0.0,0.0,1,ACCX 3A,ex-BO 9113,S4,81998.0,
59,0.0,0.0,0.0,2,ACCX 103,"1911, nee-Cook Construction",0-6-0,37123.0,
60,0.0,0.0,0.0,0,ACDX 6,,80Tonner,,
61,0.0,0.0,0.0,0,ACHD 1984,"ex-USN 8, Cooke 05/1918",0-4-0T,59957,
62,0.0,0.0,0.0,0,ACIX 103,GP7 ex NHCR 1732,GP16,22632,1600.0
63,0.0,0.0,0.0,0,ACLX NO,blt 3/45 as US Navy 508,80Tonner,27858,
64,0.0,0.0,0.0,0,ACSX B-73,,Steeple Cab,,
65,0.0,0.0,0.0,0,ACZX 3,Model: GE 45Tonner,44Tonner,,
66,0.0,0.0,0.0,1,ACZX 51,Model: GE 45Tonner,44Tonner,,
67,0.0,0.0,0.0,2,ACZX 57,Model: GE 45Tonner,44Tonner,,
68,0.0,0.0,0.0,3,ACZX 80T,Model: GE 80Tonner,80Tonner,,
69,0.0,0.0,0.0,0,ADFX 177,Ex Merilees Nee C&O 5244,SW9,A153,1200.0
70,0.0,0.0,0.0,0,ADMX ?,,25 Tonner,,
71,0.0,0.0,0.0,1,ADMX,,25 Tonner,,
72,0.0,0.0,0.0,2,ADMX,9/1956,45Tonner,32699,
73,0.0,0.0,0.0,3,ADMX,blt 07/1942,65Tonner,15656,
74,0.0,0.0,0.0,4,ADMX,,45Tonner,,
75,0.0,0.0,0.0,5,ADMX,35T American Car & Foundry 8/1936,25 Tonner,3859,
76,0.0,0.0,0.0,6,ADMX,,40-ton WDT,,
77,0.0,0.0,0.0,7,ADMX,,25 Tonner,3859,
78,0.0,0.0,0.0,8,ADMX CHERRY,"6/1947, ex-FERD 101, chain drive",45Tonner,31715,
79,0.0,0.0,0.0,9,ADMX SULLIVAN,"6/1947,",65Tonner,29063,
80,0.0,0.0,0.0,10,ADMX TRACKMOBIL,Trackmobile,UNKNOWN,,
81,0.0,0.0,0.0,11,ADMX TRACKMOBIL,Trackmobile,UNKNOWN,,
82,0.0,0.0,0.0,12,ADMX 1,"Ex-MRS 210; ""E'ville"" Blt 8/48, Scrapped November 2017",S2,76156,
83,0.0,0.0,0.0,13,ADMX 1,ex-USAX 7013,65Tonner,15656,
84,0.0,0.0,0.0,14,ADMX 1,Ex-Standard Elevator,25 Tonner,32373,
85,0.0,0.0,0.0,15,ADMX 1,"ex-ITC 778, 1204, NW 1204",SW1200,20669,1200.0
86,0.0,0.0,0.0,16,ADMX 2,,GP7,13314,1500.0
87,0.0,0.0,0.0,17,ADMX 6,,45Tonner,30732,
88,0.0,0.0,0.0,18,ADMX GP9,,GP9,24899,1750.0
89,0.0,0.0,0.0,19,ADMX 11,,44Tonner,,
90,0.0,0.0,0.0,20,ADMX 13,,80Tonner,30799,
91,0.0,0.0,0.0,21,ADMX 15,ex-IMRL exx-SOO nee-MILW,SW1200,20072,1200.0
92,0.0,0.0,0.0,22,ADMX 21,Ex-MKT,SW7,11742,1200.0
93,0.0,0.0,0.0,23,ADMX 24,Ex-CTN,SW1,7744,600.0
94,0.0,0.0,0.0,24,ADMX 35,ex-PRR,GP9,24318,1750.0
95,0.0,0.0,0.0,25,ADMX 45TONNER,,45Tonner,,
96,0.0,0.0,0.0,26,ADMX 57,,SW1200,23367,1200.0
97,0.0,0.0,0.0,27,ADMX 97,,25 Tonner,,
98,0.0,0.0,0.0,28,ADMX 107,blt 6/51 as IC SW9 9444,SW14,14367,1000.0
99,0.0,0.0,0.0,29,ADMX 139,,SW1200,30028,1200.0
100,0.0,0.0,0.0,30,ADMX 203,6041-1,SW1,10083,600.0
101,0.0,0.0,0.0,31,ADMX 205,frame 6324-1,SW1,14985,600.0
102,0.0,0.0,0.0,32,ADMX 210,ex-MRS 210,S2,76156,
103,0.0,0.0,0.0,33,ADMX 400,Ex-BCPA,SW1,2384,600.0
104,0.0,0.0,0.0,34,ADMX 401,,LEAF,,
105,0.0,0.0,0.0,35,ADMX 420,Ex LIRR 420,S1,76745,
106,0.0,0.0,0.0,36,ADMX 430,Ex. North Shore 430,SW7,11630,1200.0
107,0.0,0.0,0.0,37,ADMX 470,Ex-BRC,GP7,14392,1500.0
108,0.0,0.0,0.0,38,ADMX 475,,CF7,13735,1500.0
109,0.0,0.0,0.0,39,ADMX 541,"ex Garvey International, ex BN",NW2,3640,1000.0
110,0.0,0.0,0.0,40,ADMX 547,Ex-ATSF,CF7,9585,1500.0
111,0.0,0.0,0.0,41,ADMX 581,,GP7,13314,1500.0
112,0.0,0.0,0.0,42,ADMX 622,"9/1948, ex-CEIW, nee-LNE #611",S2,76174,
113,0.0,0.0,0.0,43,ADMX 700,ex-IC,GP10,20286,1800.0
114,0.0,0.0,0.0,44,ADMX 721,"ex-UPY, exx-UP, nee CNW",GP15-1,757142-9,1500.0
115,0.0,0.0,0.0,45,ADMX 932,Ex-NW,GP9,24941,1750.0
116,0.0,0.0,0.0,46,ADMX 953,ex-USSX 953,SW1500,4613-5,1500.0
117,0.0,0.0,0.0,47,ADMX 1001,,SW8,72678-2,800.0
118,0.0,0.0,0.0,48,ADMX 1002,Blt. 2/1973,SW1001,72878-2,1000.0
119,0.0,0.0,0.0,49,ADMX 1003,ex-SP 2270,SW1200,29646,1200.0
120,0.0,0.0,0.0,50,ADMX 1004,Alco MT4,Yard Slug,82821,
121,0.0,0.0,0.0,51,ADMX 1050,Ex-SAL,GP9,22649,1750.0
122,0.0,0.0,0.0,52,ADMX 1119,Ex-KCS,SW1500,32117,1500.0
123,0.0,0.0,0.0,53,ADMX 1120,Ex-KCS,SW1500,32116,1500.0
124,0.0,0.0,0.0,54,ADMX 1201,,SW1200,20669,1200.0
125,0.0,0.0,0.0,55,ADMX 1215,,SW9,16840,1200.0
126,0.0,0.0,0.0,56,ADMX 1218,"Ex-CNW, to MJRX same #",SW1200,27147,1200.0
127,0.0,0.0,0.0,57,ADMX 1220,ex-TRRA,SW1200,20657,1200.0
128,0.0,0.0,0.0,58,ADMX 1231,Ex-NPBL. Sold to HVSR,SW1200,21025,1200.0
129,0.0,0.0,0.0,59,ADMX 1251,,SW1200,,1200.0
130,0.0,0.0,0.0,60,ADMX 1310,E-1045-15,NW2,7308,1000.0
131,0.0,0.0,0.0,61,ADMX 1316,blt 2/75 as C&NW 1303,MP15DC,74762-2,1500.0
132,0.0,0.0,0.0,62,ADMX 1333,,GP7u,16375,
133,0.0,0.0,0.0,63,ADMX 1356,,SW1500,817019-1,1500.0
134,0.0,0.0,0.0,64,ADMX 1357,,SW1500,817019-2,1500.0
135,0.0,0.0,0.0,65,ADMX 1380,Ex-MP,MP15DC,827018-5,1500.0
136,0.0,0.0,0.0,66,ADMX 1401,,MP14B,0409-01,
137,0.0,0.0,0.0,67,ADMX 1402,,MP14B,0409-02,
138,0.0,0.0,0.0,68,ADMX 1403,,MP14B,0409-03,
139,0.0,0.0,0.0,69,ADMX 1406,,SW1200,,1200.0
140,0.0,0.0,0.0,70,ADMX 1431,Ex-IC,SW14,11649,1000.0
141,0.0,0.0,0.0,71,ADMX 1456,Ex-IC,SW14,16410,1000.0
142,0.0,0.0,0.0,72,ADMX 1462,blt 6/51 as IC SW9 9434,SW14,14357,1000.0
143,0.0,0.0,0.0,73,ADMX 1465,Ex-IC,SW14,10033,1000.0
144,0.0,0.0,0.0,74,ADMX 1476,Ex-IC,SW14,14386,1000.0
145,0.0,0.0,0.0,75,ADMX 1483,Ex-CIW,SW14,12896,1000.0
146,0.0,0.0,0.0,76,ADMX 1485,Ex-IC,SW14,16417,1000.0
147,0.0,0.0,0.0,77,ADMX 1486,Ex-IC,SW14,16507,1000.0
148,0.0,0.0,0.0,78,ADMX 1891,"ex-BN, nee-NP",GP9,21225,1750.0
149,0.0,0.0,0.0,79,ADMX 1934,Ex-NW 890,GP9,24899,1750.0
150,0.0,0.0,0.0,80,ADMX 2234,blt 8/66 as RDG 2751,SW1500,31709,1500.0
151,0.0,0.0,0.0,81,ADMX 2309,ex-TNO,SW1200,19489,1200.0
152,0.0,0.0,0.0,82,ADMX 2311,"ex-LI 420, burned, painted as 2311 (street address)",S1,76745,
153,0.0,0.0,0.0,83,ADMX 2539,,SW1500,35232,1500.0
154,0.0,0.0,0.0,84,ADMX 4120,Ex-CNW,GP7R,15180,
155,0.0,0.0,0.0,85,ADMX 4553,blt 5/57 as CRI&P 1320,GP9,22806,1750.0
156,0.0,0.0,0.0,86,ADMX 4554,"ex-RI 1317, 4483, CNW 4554",GP9,22803,1750.0
157,0.0,0.0,0.0,87,ADMX 4559,blt 3/57 as Grand Trunk 4559,GP9,22835,1750.0
158,0.0,0.0,0.0,88,ADMX 4607,Ex-CV,GP9,22839,1750.0
159,0.0,0.0,0.0,89,ADMX 7001,Ex-ATSF,CF7,13790,1500.0
160,0.0,0.0,0.0,90,ADMX 7012,blt 6/52 as GTW 7012,SW9,11167,1200.0
161,0.0,0.0,0.0,91,ADMX 7017,Ex-GTW,SW1200,20381,1200.0
162,0.0,0.0,0.0,92,ADMX 7118,,S3,,
163,0.0,0.0,0.0,93,ADMX 7264,ex-GTW,SW900,24975,900.0
164,0.0,0.0,0.0,94,ADMX 7526,,GP10,22688,1800.0
165,0.0,0.0,0.0,95,ADMX 7565,Ex Conrail Ex EIRC,GP10,,1800.0
166,0.0,0.0,0.0,96,ADMX 7567,"ex-CR, exx-PC, nee-PRR",GP10,23330,1800.0
167,0.0,0.0,0.0,97,ADMX 7571,"GP10; Ex. NYC 5940, PC 7571",GP9,20929,1750.0
168,0.0,0.0,0.0,98,ADMX 7571,blt 12/56 as NYC GP9 5940,GP10,20929,1800.0
169,0.0,0.0,0.0,99,ADMX 7577,ex con nee PRR 7066,GP10,21871,1800.0
170,0.0,0.0,0.0,100,ADMX 7586,Ex-PRR,GP10,24290,1800.0
171,0.0,0.0,0.0,101,ADMX 7596,,GP10,24313,1800.0
172,0.0,0.0,0.0,102,ADMX 8016,blt 2/60 as GTW GP18 4705,GP10,25737,1800.0
173,0.0,0.0,0.0,103,ADMX 8089,,GP10,,1800.0
174,0.0,0.0,0.0,104,ADMX 8200,,SD40-2,776088-78,3000.0
175,0.0,0.0,0.0,105,ADMX 8217,Ex IC,GP10,22340,1800.0
176,0.0,0.0,0.0,106,ADMX 8316,EX IC same number,GP10,15248,1800.0
177,0.0,0.0,0.0,107,ADMX 8401,"EMD 20290, 3/55, 5383-9, ex-IC",GP10,20290,1800.0
178,0.0,0.0,0.0,108,ADMX 8406,,GP10,,1800.0
179,0.0,0.0,0.0,109,ADMX 8407,,GP10,,1800.0
180,0.0,0.0,0.0,110,ADMX 8411,ex-IC,GP10,22334,1800.0
181,0.0,0.0,0.0,111,ADMX 8463,,GP10,12301,1800.0
182,0.0,0.0,0.0,112,ADMX 8682,"At Kershaw, SC location for th",SW8,14493,800.0
183,0.0,0.0,0.0,113,ADMX 9012,blt 6/52 as GTW 7012,SW9,11167,1200.0
184,0.0,0.0,0.0,114,ADMX 9016,Ex-Erie,SW9,16174,1200.0
185,0.0,0.0,0.0,115,ADMX 9020,blt 4/59 as Pickering Lumber 104,SW900,25343,900.0
186,0.0,0.0,0.0,116,ADMX 9335,,SW1200,24148,1200.0
187,0.0,0.0,0.0,117,ADMX 9337,blt 11/57 as PRR 7918,SW1200,24150,1200.0
188,0.0,0.0,0.0,118,ADMX 9370,blt 2/56 as New Haven 647,SW1200,21172,1200.0
189,0.0,0.0,0.0,119,ADMX 9375,,SW1200,21475,1200.0
190,0.0,0.0,0.0,120,ADMX 9495,Ex-BN,SD40-2,A3794,3000.0
191,0.0,0.0,0.0,121,ADMX 12001,,NW2R,1696,
192,0.0,0.0,0.0,122,ADMX 12007,"ex-MTR 82, ex-Ford 12007",SW9,17431,1200.0
193,0.0,0.0,0.0,123,ADMX 29063,blt 6/47 as Whiting Machine Works #2,65Tonner,29063,
194,0.0,0.0,0.0,0,AECX 73,ex-East St. Louis Junction 73,70Tonner,30029,
195,0.0,0.0,0.0,1,AECX 425,ex-NDEM,C424,3372-05,2400.0
196,0.0,0.0,0.0,0,AEIX 15,"Former M&D, nee PRR",T6,82862,
197,0.0,0.0,0.0,0,AEX,,MDT,,
198,0.0,0.0,0.0,1,AEX,,25 Tonner,,
199,0.0,0.0,0.0,2,AEX,Inland Steel 1 10/1945,65 Ton PE,4790,
200,0.0,0.0,0.0,3,AEX,,MDT,,
201,0.0,0.0,0.0,4,AEX DUNKIRK,,70Tonner,,
202,0.0,0.0,0.0,5,AEX 1,"Model: Plymouth MDT, ex-Valley Mould & Iron",MDT,6506,
203,0.0,0.0,0.0,6,AEX 2,,MDT,,
204,0.0,0.0,0.0,7,AEX 41,ex-SB,S6,81719,
205,0.0,0.0,0.0,8,AEX 4517,Ex-GTW,GP9,22865,1750.0
206,0.0,0.0,0.0,9,AEX 9337,Ex-PRR,SW1200,24150,1200.0
207,0.0,0.0,0.0,10,AEX 10008,,SD40,37001,3000.0
208,0.0,0.0,0.0,11,AEX 10014,,SW1500,72631-8,1500.0
209,0.0,0.0,0.0,12,AEX 100000,Ex-PSIX. Sold to SJVR,GP38-2,72656-2,2000.0
210,0.0,0.0,0.0,13,AEX 100001,,GP40,38560,3000.0
211,0.0,0.0,0.0,14,AEX 100002,Ex-RI,GP40,36387,3000.0
212,0.0,0.0,0.0,15,AEX 100003,,GP40-2LW,A3019,3000.0
213,0.0,0.0,0.0,16,AEX 100004,,GP40-2LW,A3042,3000.0
214,0.0,0.0,0.0,17,AEX 100005,,GP40-2LW,A3068,3000.0
215,0.0,0.0,0.0,18,AEX 100007,,GP40-2LW,A3456,3000.0
216,0.0,0.0,0.0,19,AEX 100008,Ex-NECR 5032,SD40,37001,3000.0
217,0.0,0.0,0.0,20,AEX 100009,"ex-VCRR 1200, ex-IC 1412, née-IC 9455",SW14,14378,1000.0
218,0.0,0.0,0.0,21,AEX 100010,"Ex-SSW. Sold to WRIX, to RVT",SW1500,33613,1500.0
219,0.0,0.0,0.0,22,AEX 100011,"ex-RMPX 2525, exx-SP 2525",SW1500,35218,1500.0
220,0.0,0.0,0.0,23,AEX 100012,,SW1500,4608-12,1500.0
221,0.0,0.0,0.0,24,AEX 100013,,SW1500,72631-1,1500.0
222,0.0,0.0,0.0,25,AEX 100014,"ex RMPX 2687, ex SP 2687",SW1500,72631-8,1500.0
223,0.0,0.0,0.0,26,AEX 100015,ex NOLR 1237,SSB1200,18962,
224,0.0,0.0,0.0,27,AEX 100015,,SW1200,18962,1200.0
225,0.0,0.0,0.0,28,AEX 100016,ex-CN 9514,GP40-2LW,A3092,3000.0
226,0.0,0.0,0.0,29,AEX 100017,*Scrapped*,C40-8M,47637,
227,0.0,0.0,0.0,30,AEX 100018,Ex QNSL *Scrapped*,C40-8M,47638,
228,0.0,0.0,0.0,31,AEX 100019,Ex QNSL *Scrapped*,C40-8M,47639,
229,0.0,0.0,0.0,32,AEX 100020,SD40-3MR,SD40,33919,3000.0
230,0.0,0.0,0.0,33,AEX 900212,,MDT,6413,
231,0.0,0.0,0.0,34,AEX 900250,Tennessee Corp 6 2/1953,MDT,5664,
232,0.0,0.0,0.0,35,AEX 999990,Ex-SGVY 999 SW9,SW1200,18589,1200.0
233,0.0,0.0,0.0,36,AEX 999992,,SW1200,20048,1200.0
234,0.0,0.0,0.0,37,AEX 999993,Ex SGVY 998,SW1200,30004,1200.0
235,0.0,0.0,0.0,38,AEX 999994,To LSOX 3002.,GP40-2LW,A2998,3000.0
236,0.0,0.0,0.0,39,AEX 999995,,GP40-2LW,A3245,3000.0
237,0.0,0.0,0.0,40,AEX 999996,,GP40-2LW,A3440,3000.0
238,0.0,0.0,0.0,41,AEX 999999,Ex-PSIX. Sold to SJVR,GP38-2,72656-1,2000.0
239,0.0,0.0,0.0,0,AFRX 22,ex-MEC 561,GP7,12362,1500.0
240,0.0,0.0,0.0,1,AFRX 9423,Ex-PRR. Sold to SLRS,SW1,11217,600.0
241,0.0,0.0,0.0,0,AGCX 1155,Anchor Grain. Ex MP 1155,SW1200,29793,1200.0
242,0.0,0.0,0.0,0,AGIX,,SW1,,600.0
243,0.0,0.0,0.0,1,AGIX 1220,blt 2/62 as CNW 320,SW1200,27149.0,1200.0
244,0.0,0.0,0.0,0,AGMX 100,Former AGMX Built 1/48 Phase I,45Tonner,29221.0,
245,0.0,0.0,0.0,1,AGMX 699,,80Tonner,,
246,0.0,0.0,0.0,0,AGPX,Ex-Marquett Cement,45Tonner,13053,
247,0.0,0.0,0.0,1,AGPX 1,"Ex-SP 1208, re# 1206 (2nd) in deadline",S6,80929,
248,0.0,0.0,0.0,2,AGPX 1,,45Tonner,,
249,0.0,0.0,0.0,3,AGPX 4,blt 6/57 as EMDX 6535,SW900,24007,900.0
250,0.0,0.0,0.0,4,AGPX 6,Was CR 8682,SW8,14493,800.0
251,0.0,0.0,0.0,5,AGPX 6,,25 Tonner,36400,
252,0.0,0.0,0.0,6,AGPX 101,,25 Tonner,18147,
253,0.0,0.0,0.0,7,AGPX 701,,GP7,,1500.0
254,0.0,0.0,0.0,8,AGPX 901,,GP9,,1750.0
255,0.0,0.0,0.0,9,AGPX 1409,ex BNSF 1409,GP10,11035,1800.0
256,0.0,0.0,0.0,10,AGPX 1644,ex-ATSF 747>2947>2255>BNSF 1644,GP9u,23150,
257,0.0,0.0,0.0,11,AGPX 1801,"Central Valley Ag, Floyd Val Grain LLC, CNW 6623, PNCX 1801, nee SOU SD24",SD18M,25599,
258,0.0,0.0,0.0,12,AGPX 2510,EX-CNW,GP7R,18250,
259,0.0,0.0,0.0,13,AGPX 3164,blt 7/76 as UP 8062,SD40-2,767021-28,3000.0
260,0.0,0.0,0.0,14,AGPX 3877,"ex CBR/PSAP/ENR 3877, OTVR/SCTR/NS/SOU 2813,",GP38,36061,2000.0
261,0.0,0.0,0.0,15,AGPX 4036,ex-USAX,RS-4-TC,61266,
262,0.0,0.0,0.0,16,AGPX 4125,,B23-7,41681,2250.0
263,0.0,0.0,0.0,17,AGPX 4191,Former C&NW 4191,GP7,11693,1500.0
264,0.0,0.0,0.0,18,AGPX 4222,Ex-ATSF,B23-7,42411,2250.0
265,0.0,0.0,0.0,19,AGPX 4247,Former BNSF 4247,B23-7,42929,2250.0
266,0.0,0.0,0.0,20,AGPX 4259,Ex-ATSF,B23-7,42941,2250.0
267,0.0,0.0,0.0,21,AGPX 4314,ex-CNW,GP7R,14288,
268,0.0,0.0,0.0,22,AGPX 6129,Former BN SD9,SD9,25157,1750.0
269,0.0,0.0,0.0,23,AGPX 6152,Ex-CB&Q,SD9,20560,1750.0
270,0.0,0.0,0.0,24,AGPX 6634,ex-SOU,SD18M,25606,
271,0.0,0.0,0.0,25,AGPX 6641,"Central Valley Ag, Floyd Valley Grain LLC, WSOR/CNW 6641, nee SOU SD24",SD18M,25621,
272,0.0,0.0,0.0,26,AGPX 6717,,SW8,,800.0
273,0.0,0.0,0.0,27,AGPX 6914,ex-CN,SD40-3,A2402,
274,0.0,0.0,0.0,28,AGPX 8237,ex-PAL 8237,GP10,18218,1800.0
275,0.0,0.0,0.0,29,AGPX 8323,"ex PAL, ex ICG GP10 Paducah re",GP10,20192,1800.0
276,0.0,0.0,0.0,30,AGPX 8323,blt 12/54 as C&O GP9 5910,GP8,20192,
277,0.0,0.0,0.0,0,AGRX 7731,Reporting marks not confirmed;,SW8,15953,800.0
278,0.0,0.0,0.0,0,AHWX 44,Cooke 12/1920 as Foundation Co. #100 > Fisher Lbr. Co. #44 in 1929 > AHC 44,2-6-0,62714,
279,0.0,0.0,0.0,0,AIMX 1936,Officially a TP90.Rebuilt using the frame of an SW1200,SW1200,,1200.0
280,0.0,0.0,0.0,0,AITX,,44Tonner,,
281,0.0,0.0,0.0,0,AIX 8,,GP9,,1750.0
282,0.0,0.0,0.0,1,AIX 341,xATSF,GP7u,18563.0,
283,0.0,0.0,0.0,2,AIX 33005,xB&O,GP9,23004.0,1750.0
284,0.0,0.0,0.0,3,AIX 33007,xB&O,GP9,23006.0,1750.0
285,0.0,0.0,0.0,0,ALCX 8534,"Ex-PRLX, Exx-EMLX, Exxx-UP",SD90MAC-H2,976833-13,
286,0.0,0.0,0.0,1,ALCX 8542,"Ex-PRLX, Exx-EMLX, Exxx-UP",SD90MAC-H2,976833-21,
287,0.0,0.0,0.0,2,ALCX 8555,"Ex-PRLX, Exx-EMLX, Exxx-UP",SD90MAC-H2,976833-34,
288,0.0,0.0,0.0,3,ALCX 8560,"Ex-PRLX, Exx-EMLX, Exxx-UP",SD90MAC-H2,976833-39,
289,0.0,0.0,0.0,0,ALEX GRAVEL,built as Pearl River L.C. 8,2-6-2,26055.0,
290,0.0,0.0,0.0,1,ALEX 183,,ES 64 U2,,
291,0.0,0.0,0.0,2,ALEX 223,,ER 20,,
292,0.0,0.0,0.0,3,ALEX 223,,ER 20,,
293,0.0,0.0,0.0,4,ALEX 183001,,ES 64 U2,,
294,0.0,0.0,0.0,5,ALEX 183002,,ES 64 U2,,
295,0.0,0.0,0.0,6,ALEX 183-003,,ES 64 U2,,
296,0.0,0.0,0.0,7,ALEX 183004,,ES 64 U2,,
297,0.0,0.0,0.0,8,ALEX 183-005,,ES 64 U2,,
298,0.0,0.0,0.0,9,ALEX 223064,,UNKNOWN,,
299,0.0,0.0,0.0,10,ALEX 223065,,UNKNOWN,,
300,0.0,0.0,0.0,11,ALEX 223066,,UNKNOWN,,
301,0.0,0.0,0.0,12,ALEX 223067,,UNKNOWN,,
302,0.0,0.0,0.0,13,ALEX 223-068,Siemens ER20,UNKNOWN,,
303,0.0,0.0,0.0,14,ALEX 223068,,UNKNOWN,,
304,0.0,0.0,0.0,15,ALEX 223070,,UNKNOWN,,
305,0.0,0.0,0.0,16,ALEX 223071,,UNKNOWN,,
306,0.0,0.0,0.0,17,ALEX 223-072,Siemens ER20,UNKNOWN,,
307,0.0,0.0,0.0,18,ALEX 223072,Siemens Eurorunner,UNKNOWN,,
308,0.0,0.0,0.0,19,ALEX 223-081,Siemens ER20,UNKNOWN,,
309,0.0,0.0,0.0,20,ALEX 1648-203,,UNKNOWN,,
310,0.0,0.0,0.0,0,ALSX 23,SL-75,SL-85,39152,
311,0.0,0.0,0.0,0,ALTX 1,ex-IHCX nee-CWP,SW8,16826.0,800.0
312,0.0,0.0,0.0,1,ALTX 1,No builders plate or info,45Tonner,,
