0,1,2,3
"Power Source Supply 4000s GE B23-7 Includes: 4026, 30, 32-33 & 45","GE B23-7 Includes: 4026, 30, 32-33 & 45","B23-7 Includes: 4026, 30, 32-33 & 45","Includes: 4026, 30, 32-33 & 45"
RLCX 3002 EMD SD40 -,EMD SD40 -,SD40 -,-
RLCX 3051 EMD SD50 -,EMD SD50 -,SD50 -,-
RLCX 3058 EMD SD40-2 -,EMD SD40-2 -,SD40-2 -,-
"RLCX 8500s GE B39-8 Includes: 8503, 07-09, 12-13, 17, 20, 23, 28-29, 32, 34, 38, 43, 45 & 47","GE B39-8 Includes: 8503, 07-09, 12-13, 17, 20, 23, 28-29, 32, 34, 38, 43, 45 & 47","B39-8 Includes: 8503, 07-09, 12-13, 17, 20, 23, 28-29, 32, 34, 38, 43, 45 & 47","Includes: 8503, 07-09, 12-13, 17, 20, 23, 28-29, 32, 34, 38, 43, 45 & 47"
"RLCX 8500s GE B39-8 Includes: 8551, 62, 64, 70-1, 81-2, 84, 86-90 & 99","GE B39-8 Includes: 8551, 62, 64, 70-1, 81-2, 84, 86-90 & 99","B39-8 Includes: 8551, 62, 64, 70-1, 81-2, 84, 86-90 & 99","Includes: 8551, 62, 64, 70-1, 81-2, 84, 86-90 & 99"
"Southern Pacific 3344, 3835 EMD GP9 -",EMD GP9 -,GP9 -,-
SP 6811 & 6876 EMD SD45T-2 -,EMD SD45T-2 -,SD45T-2 -,-
SP 7328 EMD SD40-2 -,EMD SD40-2 -,SD40-2 -,-
SP 7401 EMD SD45T-2 -,EMD SD45T-2 -,SD45T-2 -,-
"SP 9270, 9294 & 9323 EMD SD45T-2 -",EMD SD45T-2 -,SD45T-2 -,-
Texas Southern 407 EMD F7A Ex-Coe Rail 407 < Cedar Valley (Star Clipper) 407 < nee C&NW 407,EMD F7A Ex-Coe Rail 407 < Cedar Valley (Star Clipper) 407 < nee C&NW 407,F7A Ex-Coe Rail 407 < Cedar Valley (Star Clipper) 407 < nee C&NW 407,Ex-Coe Rail 407 < Cedar Valley (Star Clipper) 407 < nee C&NW 407
Trans-Kentucky Transportation 2078 GE Road Slug -,GE Road Slug -,Road Slug -,-
Union Pacific 667 EMD GP40 -,EMD GP40 -,GP40 -,-
"UP 1601, 08-09 & 1613 GE Road Slug -",GE Road Slug -,Road Slug -,-
UP 1985 & 1989 EMD GP38 -,EMD GP38 -,GP38 -,-
UP 3181 EMD SD40-2 Ex-?,EMD SD40-2 Ex-?,SD40-2 Ex-?,Ex-?
UP 4231 & 4277 EMD SD40-2 Ex-?,EMD SD40-2 Ex-?,SD40-2 Ex-?,Ex-?
UP 4311 EMD SD40-2B Ex-?,EMD SD40-2B Ex-?,SD40-2B Ex-?,Ex-?
"UP 5000s EMD SD50 Includes: 5004, 10, 16, 23-24, 41, 62-63, 67, 70-71, 81","EMD SD50 Includes: 5004, 10, 16, 23-24, 41, 62-63, 67, 70-71, 81","SD50 Includes: 5004, 10, 16, 23-24, 41, 62-63, 67, 70-71, 81","Includes: 5004, 10, 16, 23-24, 41, 62-63, 67, 70-71, 81"
UP 7009 EMD SD50 -,EMD SD50 -,SD50 -,-
UP 7526 EMD SD45-2 Ex-?,EMD SD45-2 Ex-?,SD45-2 Ex-?,Ex-?
UP 7877 EMD SD40T-2 Ex-?,EMD SD40T-2 Ex-?,SD40T-2 Ex-?,Ex-?
UP 8785-8786 EMD SD40T-2 Ex-?,EMD SD40T-2 Ex-?,SD40T-2 Ex-?,Ex-?
UP 8965 & 8993 EMD SD40-2 -,EMD SD40-2 -,SD40-2 -,-
UP 8974 & 9926 EMD SD45 Ex-?,EMD SD45 Ex-?,SD45 Ex-?,Ex-?
UP 9967 EMD GP40 -,EMD GP40 -,GP40 -,-
(VMV 2001) EMD SD40-2 Ex- VMV demonstrator; sold to Northshore Mining 2001,EMD SD40-2 Ex- VMV demonstrator; sold to Northshore Mining 2001,SD40-2 Ex- VMV demonstrator; sold to Northshore Mining 2001,Ex- VMV demonstrator; sold to Northshore Mining 2001
WAMX 3023 EMD GP30 -,EMD GP30 -,GP30 -,-
Wisconsin Central 2500 EMD SD35 Ex Sou 3024,EMD SD35 Ex Sou 3024,SD35 Ex Sou 3024,Ex Sou 3024
WC 6597 & 6625 EMD SD45 -,EMD SD45 -,SD45 -,-
