0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
MKCX 5401 & 5402 C636 (Alco) 6008-01 & 02 11/68 Ex-Alco demonstrators 636-1 & 636-2,C636 (Alco) 6008-01 & 02 11/68 Ex-Alco demonstrators 636-1 & 636-2,6008-01 & 02 11/68 Ex-Alco demonstrators 636-1 & 636-2,11/68 Ex-Alco demonstrators 636-1 & 636-2,Ex-Alco demonstrators 636-1 & 636-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKCX 5403 C636 (Alco) 6008-03 11/68 Ex-Alco demonstrators 636-3,C636 (Alco) 6008-03 11/68 Ex-Alco demonstrators 636-3,6008-03 11/68 Ex-Alco demonstrators 636-3,11/68 Ex-Alco demonstrators 636-3,Ex-Alco demonstrators 636-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 5525-5527 F45u (EMD) 34036, 34048, 34044 6/68 Scrapped; ex-ATSF F45u 5950, 5952 & 5958 < nee ATSF 1900, 1902 & 1908","F45u (EMD) 34036, 34048, 34044 6/68 Scrapped; ex-ATSF F45u 5950, 5952 & 5958 < nee ATSF 1900, 1902 & 1908","34036, 34048, 34044 6/68 Scrapped; ex-ATSF F45u 5950, 5952 & 5958 < nee ATSF 1900, 1902 & 1908","6/68 Scrapped; ex-ATSF F45u 5950, 5952 & 5958 < nee ATSF 1900, 1902 & 1908","Scrapped; ex-ATSF F45u 5950, 5952 & 5958 < nee ATSF 1900, 1902 & 1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 5528 & 5529 F45u (EMD) 34068, 34054 6/68 Scrapped; ex-ATSF F45u 5962 & 5968 < ATSF 5912 & 5918 < nee ATSF 1912 & 1918","F45u (EMD) 34068, 34054 6/68 Scrapped; ex-ATSF F45u 5962 & 5968 < ATSF 5912 & 5918 < nee ATSF 1912 & 1918","34068, 34054 6/68 Scrapped; ex-ATSF F45u 5962 & 5968 < ATSF 5912 & 5918 < nee ATSF 1912 & 1918",6/68 Scrapped; ex-ATSF F45u 5962 & 5968 < ATSF 5912 & 5918 < nee ATSF 1912 & 1918,Scrapped; ex-ATSF F45u 5962 & 5968 < ATSF 5912 & 5918 < nee ATSF 1912 & 1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 5530 & 5531 F45u (EMD) 34055, 34046 6/68 Scrapped; ex-ATSF F45u 5969 & 5960 < ATSF 5919 & 5910 < nee ATSF 1919 & 1910","F45u (EMD) 34055, 34046 6/68 Scrapped; ex-ATSF F45u 5969 & 5960 < ATSF 5919 & 5910 < nee ATSF 1919 & 1910","34055, 34046 6/68 Scrapped; ex-ATSF F45u 5969 & 5960 < ATSF 5919 & 5910 < nee ATSF 1919 & 1910",6/68 Scrapped; ex-ATSF F45u 5969 & 5960 < ATSF 5919 & 5910 < nee ATSF 1919 & 1910,Scrapped; ex-ATSF F45u 5969 & 5960 < ATSF 5919 & 5910 < nee ATSF 1919 & 1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 5900 series F45u (EMD) There were several 5900 series sold to MKCX, but they retained their ATSF lettering, e.g. 5978-5980","F45u (EMD) There were several 5900 series sold to MKCX, but they retained their ATSF lettering, e.g. 5978-5980","There were several 5900 series sold to MKCX, but they retained their ATSF lettering, e.g. 5978-5980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 5951 & 5954 F45u (EMD) 34047, 34040 6/68 Scrapped; ex-ATSF F45u %951 & 5954 < ATSF 5901 & 5904  < nee ATSF 1901 &  1904","F45u (EMD) 34047, 34040 6/68 Scrapped; ex-ATSF F45u %951 & 5954 < ATSF 5901 & 5904  < nee ATSF 1901 &  1904","34047, 34040 6/68 Scrapped; ex-ATSF F45u %951 & 5954 < ATSF 5901 & 5904  < nee ATSF 1901 &  1904",6/68 Scrapped; ex-ATSF F45u %951 & 5954 < ATSF 5901 & 5904  < nee ATSF 1901 &  1904,Scrapped; ex-ATSF F45u %951 & 5954 < ATSF 5901 & 5904  < nee ATSF 1901 &  1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKCX 6101 C425 (Alco) 3403-02 2/65 Ex-CR 2423 < PC 2423 < nee PRR 2423,C425 (Alco) 3403-02 2/65 Ex-CR 2423 < PC 2423 < nee PRR 2423,3403-02 2/65 Ex-CR 2423 < PC 2423 < nee PRR 2423,2/65 Ex-CR 2423 < PC 2423 < nee PRR 2423,Ex-CR 2423 < PC 2423 < nee PRR 2423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKCX 8301 SD40M-2 (EMD) 36808 2/71 Blt from ex-SP SD45X 9503 < nee EMD SD45X 4201,SD40M-2 (EMD) 36808 2/71 Blt from ex-SP SD45X 9503 < nee EMD SD45X 4201,36808 2/71 Blt from ex-SP SD45X 9503 < nee EMD SD45X 4201,2/71 Blt from ex-SP SD45X 9503 < nee EMD SD45X 4201,Blt from ex-SP SD45X 9503 < nee EMD SD45X 4201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKCX 8303 SD40 (EMD) 32090 9/66 Blt from ex-CSX 8303 < SBD 8303 < nee EMD L&N 1227,SD40 (EMD) 32090 9/66 Blt from ex-CSX 8303 < SBD 8303 < nee EMD L&N 1227,32090 9/66 Blt from ex-CSX 8303 < SBD 8303 < nee EMD L&N 1227,9/66 Blt from ex-CSX 8303 < SBD 8303 < nee EMD L&N 1227,Blt from ex-CSX 8303 < SBD 8303 < nee EMD L&N 1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
