,index,Company,Abbr,Road No.,Model,Date,HP
2009,61,Larry's Truck Electric,LTEX,1570,SW1500 / MP15DC (EMD),,
2010,62,Larry's Truck Electric,LTEX,1571,SW1500 / MP15DC (EMD),,
2011,63,Larry's Truck Electric,LTEX,2539,SW1500 (EMD),,
2012,64,Larry's Truck Electric,LTEX,2638,SW1500 (EMD),,
2013,65,Larry's Truck Electric,LTEX,2641,SW1500 (EMD),,
2014,66,Larry's Truck Electric,LTEX,2678,SW1500 (EMD),,
2015,67,Larry's Truck Electric,LTEX,3203,SW1500 (EMD),,
2016,68,Larry's Truck Electric,LTEX,"BNSF 3415, 3416",SW1500 (EMD),,
2017,69,Larry's Truck Electric,LTEX,8861,SW7 (EMD),,
2018,70,Larry's Truck Electric,LTEX,9550,SW1500 (EMD),,
2019,71,Larry's Truck Electric,LTEX,9553,SW1500 (EMD),,
2020,72,Larry's Truck Electric,LTEX,9566 and 9658,SW1500 (EMD),,
2021,73,Larry's Truck Electric,LTEX,9569,SW1500 (EMD),,
2022,74,Larry's Truck Electric,LTEX,23,GP30 (EMD),,
2023,75,Larry's Truck Electric,LTEX,150,F7A (EMD),,
2024,76,Larry's Truck Electric,LTEX,500 (1st) & 502,GP35M (EMD),,
2025,77,Larry's Truck Electric,LTEX,700,GP7U / GP20 (EMD),,
2026,78,Larry's Truck Electric,LTEX,701,GP7U / GP20 (EMD),,
2027,79,Larry's Truck Electric,LTEX,702,GP7U / GP20 (EMD),,
2028,80,Larry's Truck Electric,LTEX,"1413, 1417, 1420, 1425, & 1427-28",GP15-1 (EMD),,
2029,81,Larry's Truck Electric,LTEX,"1435, 1453 and 1455",GP15-1 (EMD),,
2030,82,Larry's Truck Electric,LTEX,1479,GP15-1 (EMD),,
2031,83,Larry's Truck Electric,LTEX,1502,FP10 (EMD),,
2032,84,Larry's Truck Electric,LTEX,2007,FL9 (EMD),,
2033,85,Larry's Truck Electric,LTEX,2174,GP30 (EMD),,
2034,86,Larry's Truck Electric,LTEX,2185,GP30 (EMD),,
2035,87,Larry's Truck Electric,LTEX,2230,GP30 (EMD),,
2036,88,Larry's Truck Electric,LTEX,"2402, 2406-08, 10, 11, 15-19, 24, 26-27, 29, 34, 40, 2444, 50, 53-55, 58, 60, 61, 63-64, 66, 67, 69, 72-73, 75 & 77",GP30 Series,,
2037,89,Larry's Truck Electric,LTEX,3000-3001,B30-7 (GE),,
2038,90,Larry's Truck Electric,LTEX,3800,GP38-2 (EMD),,
2039,91,Larry's Truck Electric,LTEX,5085-86 & 5089,GP38-2,,2000.0
2040,92,Larry's Truck Electric,LTEX,5106 & 5107,GP38-2,,2000.0
2041,93,Larry's Truck Electric,LTEX,"5110, 5124 & 5129",GP38-2,,2000.0
2042,94,Larry's Truck Electric,LTEX,5137 & 5138,GP38-2,,2000.0
2043,95,Larry's Truck Electric,LTEX,5145 & 5154-58 (CG),GP38-2,,2000.0
2044,96,Larry's Truck Electric,LTEX,5160 (AGS),GP38-2,,2000.0
2045,97,Larry's Truck Electric,LTEX,5166,GP38-2,,2000.0
2046,98,Larry's Truck Electric,LTEX,5185,GP38-2,,2000.0
2047,99,Larry's Truck Electric,LTEX,6443,GP40-2 (EMD),,
2048,100,Larry's Truck Electric,LTEX,708 & 712 (former NAFTA),SD50 (EMD),,
2049,101,Larry's Truck Electric,LTEX,"1714, 1725 & 1726",SD9 (EMD),,
2050,102,Larry's Truck Electric,LTEX,"2140, 41, 43-45, 55, 56, 74 & 75",C44-8 (GE),,
2051,103,Larry's Truck Electric,LTEX,"2240, 2242, 2244, 2245, 2247, 2254, 2256, 2257, 2260, 2269, 2270, 2273, 2278, 2281, 2291, 2300, 2310, 2314, 2316, 2321, 2322, 2324, 2326, 2328, 2335, 2341, 2354, 2356, 2368, 2376, 2380, 2394, 2410, 2411, 2436, 2438, 2443, 2446, 2456, 2461, 2485",SD60M,,3800.0
2052,104,Larry's Truck Electric,LTEX,"3827, 3905, 3916",SD40-2 (EMD),,
2053,105,Larry's Truck Electric,LTEX,BCL 4612,CM40-8 (GE),,
2054,106,Larry's Truck Electric,LTEX,5387,SD40-2 (EMD),,
2055,107,Larry's Truck Electric,LTEX,6654-6655,F45 (EMD),,
2056,108,Larry's Truck Electric,LTEX,6795 & 6882,SD45T-2 (EMD),,
2057,109,Larry's Truck Electric,LTEX,7005 and 7007,SD50 (EMD),,
2058,110,Larry's Truck Electric,LTEX,"7012-7014, 7018 & 7020",SD50 (EMD),,
2059,111,Larry's Truck Electric,LTEX,7310 and 7371,SD40T-2 (EMD),,
2060,112,Larry's Truck Electric,LTEX,"7427, 7444 & 7527",SD45R (EMD),,
2061,113,Larry's Truck Electric,LTEX,8231 and 8318,SD40-2 (EMD),,
2062,114,Larry's Truck Electric,LTEX,8300-03 & 18,C40-8 (GE),,
2063,115,Larry's Truck Electric,LTEX,"8530, 32, 37",SD40T-2 (EMD),,
2064,116,Larry's Truck Electric,LTEX,"8546, 72, 93",SD40T-2 (EMD),,
2065,117,Larry's Truck Electric,LTEX,8575,SD50 (EMD),,
2066,118,Larry's Truck Electric,LTEX,8641,SD50 (EMD),,
2067,119,Larry's Truck Electric,LTEX,"8691, 95 & 98",C40-8 (GE),,
2068,120,Larry's Truck Electric,LTEX,"8700-01, 03 & 06-07",C40-8 (GE),,
2069,121,Larry's Truck Electric,LTEX,8710,C40-8 (GE),,
2070,122,Larry's Truck Electric,LTEX,"8711, 13, 16 & 18",C40-8 (GE),,
2071,123,Larry's Truck Electric,LTEX,8719,C40-8 (GE),,
2072,124,Larry's Truck Electric,LTEX,8721-22 & 25-27,C40-8 (GE),,
2073,125,Larry's Truck Electric,LTEX,"8730-32, 34-35 & 38",C40-8 (GE),,
2074,126,Larry's Truck Electric,LTEX,8739,C40-8 (GE),,
2075,127,Larry's Truck Electric,LTEX,"8740, 42-44 & 47-51",C40-8 (GE),,
2076,128,Larry's Truck Electric,LTEX,8753 & 55-57,C40-8 (GE),,
2077,129,Larry's Truck Electric,LTEX,8759-60 & 62,C40-8 (GE),,
2078,130,Larry's Truck Electric,LTEX,"8849, 54, 58",SD40T-2 / SD40-2(EMD),,
2079,131,Larry's Truck Electric,LTEX,"8935, 8971",SD40T-2 / SD40-2(EMD),,
2080,132,Larry's Truck Electric,LTEX,"9201, 938 & 9259",SD45T-2 (EMD),,
2081,133,Larry's Truck Electric,LTEX,9366,SD45T-2 (EMD),,
2082,134,Larry's Truck Electric,LTEX,9912,SD40-2 (EMD),,
2083,135,Larry's Truck Electric,LTEX,9912-2,E9Au (EMD),,
2084,136,Larry's Truck Electric,LTEX,9918,E9Au (EMD),,
2085,137,Larry's Truck Electric,LTEX,9925,E9Au (EMD),,
2086,138,Larry's Truck Electric,LTEX,18520,F59PH (EMD),,
2087,139,Larry's Truck Electric,LTEX,18522,F59PH (EMD),,
2088,0,"Railway Service Contractors, Inc",MJRX,MJRX 201,CF7,Dec-49,1500.0
2089,1,"Railway Service Contractors, Inc",MJRX,MJRX 513,GP35R,May-65,
2090,2,"Railway Service Contractors, Inc",MJRX,MJRX 650,GP9r,Jun-56,
2091,3,"Railway Service Contractors, Inc",MJRX,MJRX 651,GP9r,1956,
2092,4,"Railway Service Contractors, Inc",MJRX,MJRX 711,GP30,Apr-63,2250.0
2093,5,"Railway Service Contractors, Inc",MJRX,MJRX 750,SD40M-2,Jul-70,
2094,6,"Railway Service Contractors, Inc",MJRX,MJRX 751,SD40M-2,Jul-70,
2095,7,"Railway Service Contractors, Inc",MJRX,MJRX 849,B30-7,Mar-79,3000.0
2096,8,"Railway Service Contractors, Inc",MJRX,MJRX 1021,SD20,Jan-60,2000.0
2097,9,"Railway Service Contractors, Inc",MJRX,MJRX 1023,SD20,Dec-59,2000.0
2098,10,"Railway Service Contractors, Inc",MJRX,MJRX 1606,Slug,Apr-63,
2099,11,"Railway Service Contractors, Inc",MJRX,MJRX 1752,GP10,Oct-50,1800.0
2100,12,"Railway Service Contractors, Inc",MJRX,MJRX 1901,GP9u,Apr-57,
2101,13,"Railway Service Contractors, Inc",MJRX,MJRX 1902,GP9u,Apr-57,
2102,14,"Railway Service Contractors, Inc",MJRX,MJRX 2050,GP7u,Dec-52,
2103,15,"Railway Service Contractors, Inc",MJRX,MJRX 2968,SD35R,Mar-65,
2104,16,"Railway Service Contractors, Inc",MJRX,MJRX 4122,GP9RM,Sep-55,
2105,17,"Railway Service Contractors, Inc",MJRX,MJRX 4163,GP7R,Jul-52,
2106,18,"Railway Service Contractors, Inc",MJRX,MJRX 6001,,,
2107,19,"Railway Service Contractors, Inc",MJRX,MJRX 6003,SD40T-2,,3000.0
2108,20,"Railway Service Contractors, Inc",MJRX,MJRX 8097,GP10,Jan-57,1800.0
2109,21,"Railway Service Contractors, Inc",MJRX,MJRX 9002,SD40M-2,Jul-70,
2110,22,"Railway Service Contractors, Inc",MJRX,MJRX 9005,SD40M-2,Jul-70,
2111,23,"Railway Service Contractors, Inc",MJRX,MJRX 9006,SD40M-2,Jul-70,
2112,24,"Railway Service Contractors, Inc",MJRX,MJRX 9010,SD40M-2,,
2113,25,"Railway Service Contractors, Inc",MJRX,MJRX 12004,SW7,Dec-50,1200.0
2114,26,"Railway Service Contractors, Inc",MJRX,MJRX 4651,GP9R,Mar-57,
2115,27,"Railway Service Contractors, Inc",MJRX,MJRX 8753,S2,Dec-47,
2116,28,"Railway Service Contractors, Inc",MJRX,MJRX 8754,S2,Sep-44,
2117,0,MotivePower Industries,MPI,MPEX 244,MP21B,8-May,
2118,1,MotivePower Industries,MPI,SP 501-503,MK5000C,Aug-94,
2119,2,MotivePower Industries,MPI,MPEX 1501,MP1500D,Jul-56,
2120,3,MotivePower Industries,MPI,MPEX 1502 & 1503,MP1500D,Apr-54,
2121,4,MotivePower Industries,MPI,MPEX 1504 & 1505,MP1500D,Dec-55,
2122,5,MotivePower Industries,MPI,MPEX 1506,MP1500D,,
2123,6,MotivePower Industries,MPI,GE 2001 & 2002,B23-7R,Jul-89,
2124,7,MotivePower Industries,MPI,MPEX 2001,MP2000D,Aug-98,
2125,8,MotivePower Industries,MPI,MPEX 2002,MP2000D,May-98,
2126,9,MotivePower Industries,MPI,MPEX 2003,MP2000D,,
2127,10,MotivePower Industries,MPI,MPEX 2004 & 05,MP2000D,,
2128,11,MotivePower Industries,MPI,GE 3000-3002,C30-7R,May-89,
2129,12,MotivePower Industries,MPI,MPEX 5000,SD50-3,Oct-99,
2130,13,MotivePower Industries,MPI,MKCX 5001,TE50-4S,Sep-79,
2131,14,MotivePower Industries,MPI,MPEX 6201,MP2000C,Jan-65,
2132,15,MotivePower Industries,MPI,MPEX 243,SW1m,Oct-41,
2133,16,MotivePower Industries,MPI,MKCX 319,S6,Nov-56,
2134,17,MotivePower Industries,MPI,MKCX 628 & 636,SD40,Mar-71,3000.0
2135,18,MotivePower Industries,MPI,MPEX 750-752,SD40u,Jan-70,
2136,19,MotivePower Industries,MPI,MPI 1513 & 1514,SW1500,May-69,1500.0
2137,20,MotivePower Industries,MPI,MPI 2001(1st),GP38M-4,Feb-64,
2138,21,MotivePower Industries,MPI,MKCX 4301,GP40,1969,3000.0
2139,22,MotivePower Industries,MPI,MKCX 4302,GP40,Feb-70,3000.0
2140,23,MotivePower Industries,MPI,MKCX 4303,GP40,Mar-71,3000.0
2141,24,MotivePower Industries,MPI,MKCX 4304,GP40,Jun-66,3000.0
2142,25,MotivePower Industries,MPI,MKCX 4305,GP40,Aug-71,3000.0
2143,26,MotivePower Industries,MPI,"MKCX 5348, 5349",SD45u,Dec-66,
2144,27,MotivePower Industries,MPI,"MKCX 5353, --, 5355",SD45u,Dec-66,
2145,28,MotivePower Industries,MPI,MKCX 5356-5358,SD45u,Sep-66,
2146,29,MotivePower Industries,MPI,"MKCX 5359, --, 5361",SD45u,Jun-66,
2147,30,MotivePower Industries,MPI,MPEX 5364,SD45u,Nov-66,
2148,31,MotivePower Industries,MPI,MKCX 5365-5367,SD45u,Oct-66,
2149,32,MotivePower Industries,MPI,MKCX 5368-5370,SD45u,Sep-66,
2150,33,MotivePower Industries,MPI,MKCX 5371-5373,SD45u,Jun-70,
2151,34,MotivePower Industries,MPI,MPEX 5374-5376,SD45u,Jun-70,
2152,35,MotivePower Industries,MPI,MPEX 5377,SD45u,Jun-66,
2153,36,MotivePower Industries,MPI,MKCX 5401 & 5402,C636,Nov-68,3600.0
2154,37,MotivePower Industries,MPI,MKCX 5403,C636,Nov-68,3600.0
2155,38,MotivePower Industries,MPI,MKCX 5525-5527,F45u,Jun-68,
2156,39,MotivePower Industries,MPI,MKCX 5528 & 5529,F45u,Jun-68,
2157,40,MotivePower Industries,MPI,MKCX 5530 & 5531,F45u,Jun-68,
2158,41,MotivePower Industries,MPI,MKCX 5900 series,F45u,,
2159,42,MotivePower Industries,MPI,MKCX 5951 & 5954,F45u,Jun-68,
2160,43,MotivePower Industries,MPI,MKCX 6101,C425,Feb-65,2500.0
2161,44,MotivePower Industries,MPI,MKCX 8301,SD40M-2,Feb-71,
2162,45,MotivePower Industries,MPI,MKCX 8303,SD40,Sep-66,3000.0
2163,46,MotivePower Industries,MPI,MKCX 8402 & 8403,SD40,Aug-66,3000.0
2164,47,MotivePower Industries,MPI,MPI 9000-9029,SD40M-2,,
2165,48,MotivePower Industries,MPI,MKCX 9030-9036,SD40M-2,,
2166,49,MotivePower Industries,MPI,MPI 9037-9057,SD40M-2,,
2167,50,MotivePower Industries,MPI,MKCX 9401,SD40,Sep-71,3000.0
2168,51,MotivePower Industries,MPI,MKCX 9409 & 9410,SD40,Sep-71,3000.0
2169,52,MotivePower Industries,MPI,MKCX 9411,SD40,Sep-71,3000.0
2170,53,MotivePower Industries,MPI,"MKCX 9502, 9504",SD45u,Aug-70,
2171,54,MotivePower Industries,MPI,MKCX 9532,SD45u,Oct-69,
2172,55,MotivePower Industries,MPI,MPEX 9535,SD45u,Oct-66,
2173,56,MotivePower Industries,MPI,MKCX 9536-9538,SD45u,Oct-66,
2174,57,MotivePower Industries,MPI,MKCX 9539-9541,SD45u,Aug-66,
2175,58,MotivePower Industries,MPI,"V04, V08 & V10",RP39-2C,Sep-71,
2176,0,Motive - Rail Incorporated,MRIX,,SC15A,,
2177,1,Motive - Rail Incorporated,MRIX,15858,GP7,Feb-52,1500.0
2178,2,Motive - Rail Incorporated,MRIX,20766,GP10,Dec-55,1800.0
2179,3,Motive - Rail Incorporated,MRIX,12257,GP8,Nov-50,
2180,4,Motive - Rail Incorporated,MRIX,24877,GP9,May-59,1750.0
2181,5,Motive - Rail Incorporated,MRIX,23549,GP9,May-57,1750.0
2182,6,Motive - Rail Incorporated,MRIX,827018-16,MP15DC,Nov-82,1500.0
2183,7,Motive - Rail Incorporated,MRIX,756064-44,MP15AC,Sep-75,1500.0
2184,8,Motive - Rail Incorporated,MRIX,75064-46,MP15AC,Sep-75,1500.0
2185,9,Motive - Rail Incorporated,MRIX,15179,GP7,Oct-51,1500.0
2186,10,Motive - Rail Incorporated,MRIX,776127-21,GP40-2,Jun-78,3000.0
2187,11,Motive - Rail Incorporated,MRIX,A1462,GP9R,Feb-58,
2188,12,Motive - Rail Incorporated,MRIX,23800,GP10,Dec-57,1800.0
2189,13,Motive - Rail Incorporated,MRIX,23233,GP10,Jun-57,1800.0
2190,14,Motive - Rail Incorporated,MRIX,20762,GP10,Dec-55,1800.0
2191,15,Motive - Rail Incorporated,MRIX,22279,GP8,Dec-56,
2192,16,Motive - Rail Incorporated,MRIX,16688,GP10,Jul-52,1800.0
2193,17,Motive - Rail Incorporated,MRIX,18810,GP8,May-54,
2194,18,Motive - Rail Incorporated,MRIX,18817,GP8,May-54,
2195,19,Motive - Rail Incorporated,MRIX,23857,GP10,Jan-58,1800.0
2196,20,Motive - Rail Incorporated,MRIX,25033,GP10,Dec-58,1800.0
2197,21,Motive - Rail Incorporated,MRIX,20761,GP10,Dec-55,1800.0
2198,22,Motive - Rail Incorporated,MRIX,23854,GP10,Jan-58,1800.0
2199,23,Motive - Rail Incorporated,MRIX,25059,GP9R,Feb-59,
2200,24,Motive - Rail Incorporated,MRIX,24756,GP9R,Oct-58,
2201,25,Motive - Rail Incorporated,MRIX,16348,GP10,Jun-52,1800.0
2202,26,Motive - Rail Incorporated,MRIX,,GP7L,,
2203,27,Motive - Rail Incorporated,MRIX,,GP7,,1500.0
2204,28,Motive - Rail Incorporated,MRIX,,RP14BD,,
2205,29,Motive - Rail Incorporated,MRIX,,RP14BD,,
2206,30,Motive - Rail Incorporated,MRIX,,B30-7,,3000.0
2207,31,Motive - Rail Incorporated,MRIX,,B30-7,,3000.0
2208,32,Motive - Rail Incorporated,MRIX,,B30-7,,3000.0
2209,33,Motive - Rail Incorporated,MRIX,,B23-7,,2250.0
2210,34,Motive - Rail Incorporated,MRIX,,GP35M,,
2211,35,Motive - Rail Incorporated,MRIX,776127-28,GP40-2,Jun-78,3000.0
2212,0,Motive Power Resource,MVPX,903,SW900,Feb-56,900.0
2213,1,Motive Power Resource,MVPX,905,SW900,Feb-56,900.0
2214,2,Motive Power Resource,MVPX,1196,SW900E,Jun-54,
2215,3,Motive Power Resource,MVPX,1251,SW9,Dec-52,1200.0
2216,4,Motive Power Resource,MVPX,1460,SW14,Apr-50,1000.0
2217,5,Motive Power Resource,MVPX,6005,SD40-2,,3000.0
2218,6,Motive Power Resource,MVPX,15,SW1200,Nov-54,1200.0
2219,7,Motive Power Resource,MVPX,23,GP40H-2,,
2220,8,Motive Power Resource,MVPX,106,MP15C,Dec-78,
2221,9,Motive Power Resource,MVPX,107,MP15C,,
2222,10,Motive Power Resource,MVPX,109,SW14,Aug-50,1000.0
2223,11,Motive Power Resource,MVPX,456,SW1000,,1000.0
2224,12,Motive Power Resource,MVPX,500,GP9R,Mar-59,
2225,13,Motive Power Resource,MVPX,907,SW900,Jul-57,900.0
2226,14,Motive Power Resource,MVPX,973,GP7,,1500.0
2227,15,Motive Power Resource,MVPX,1001,SW1000,,1000.0
2228,16,Motive Power Resource,MVPX,1145,SW1200,Apr-66,1200.0
2229,17,Motive Power Resource,MVPX,1161,SW1000,Apr-65,1000.0
2230,18,Motive Power Resource,MVPX,1200,SW1200,Nov-54,1200.0
2231,19,Motive Power Resource,MVPX,1201,SW1200,Nov-54,1200.0
2232,20,Motive Power Resource,MVPX,1202,SW14,Jul-51,1000.0
2233,21,Motive Power Resource,MVPX,1206,SW1200,Jun-51,1200.0
2234,22,Motive Power Resource,MVPX,1253,SW1200,May-53,1200.0
2235,23,Motive Power Resource,MVPX,1296,SW1500,,1500.0
2236,24,Motive Power Resource,MVPX,1460,SW14,Apr-50,1000.0
2237,25,Motive Power Resource,MVPX,1440,SW14,Jun-51,1000.0
2238,26,Motive Power Resource,MVPX,1472,SW14,Jul-51,1000.0
2239,27,Motive Power Resource,MVPX,1507,GP7u,1953,
2240,28,Motive Power Resource,MVPX,1540,GP9u,1955,
2241,29,Motive Power Resource,MVPX,2167,GP7u,Oct-52,
2242,30,Motive Power Resource,MVPX,2210,GP7u,Jan-52,
2243,31,Motive Power Resource,MVPX,3104,SD40-2,Dec-66,3000.0
2244,32,Motive Power Resource,MVPX,3125,SD40M-2,Sep-66,
2245,33,Motive Power Resource,MVPX,3126,SD40M-2,Feb-69,
2246,34,Motive Power Resource,MVPX,3145,SD40-2,Dec-66,3000.0
2247,35,Motive Power Resource,MVPX,3535,SW1200,Apr-56,1200.0
2248,36,Motive Power Resource,MVPX,3811,GP38-2,Dec-69,2000.0
2249,37,Motive Power Resource,MVPX,3819,SD40-2,Oct-78,3000.0
2250,38,Motive Power Resource,MVPX,4026,GP40,Apr-66,3000.0
2251,39,Motive Power Resource,MVPX,4029,GP40,Apr-66,3000.0
2252,40,Motive Power Resource,MVPX,4135-4137,GP40FH-2,Aug-67,3000.0
2253,41,Motive Power Resource,MVPX,4138,GP40FH-2,Jan-69,3000.0
2254,42,Motive Power Resource,MVPX,4141 & 4142,GP40FH-2,Feb-69,3000.0
2255,43,Motive Power Resource,MVPX,4143 & 4144,GP40FH-2,Sep-66,3000.0
2256,44,Motive Power Resource,MVPX,4444,GP9Rm,May-56,
2257,45,Motive Power Resource,MVPX,4601,GP9Rm,Jan-57,
2258,46,Motive Power Resource,MVPX,7424,SD45R,Feb-67,
2259,47,Motive Power Resource,MVPX,8524,B39-8E,Nov-87,
2260,48,Motive Power Resource,MVPX,8527,B39-8E,Nov-87,
2261,49,Motive Power Resource,MVPX,8539 & 8560,B39-8E,Jan-88,
2262,50,Motive Power Resource,MVPX,8803,SD40T-2,May-80,3000.0
2263,51,Motive Power Resource,MVPX,9258,SD45T-2,Jun-72,3600.0
2264,52,Motive Power Resource,MVPX,9370,SW1200,,1200.0
2265,53,Motive Power Resource,MVPX,9373,SD45T-2,Mar-75,3600.0
2266,0,Midwest Locomotive Leasing,MWLX,MWLX 4,SW1,,600.0
2267,1,Midwest Locomotive Leasing,MWLX,MWLX 13,SW1500,Mar-70,1500.0
2268,2,Midwest Locomotive Leasing,MWLX,MWLX 84,GP38-2,Sep-75,2000.0
2269,3,Midwest Locomotive Leasing,MWLX,MWLX 137,SW9,Feb-51,1200.0
2270,4,Midwest Locomotive Leasing,MWLX,MWLX 261,SW9,Jan-52,1200.0
2271,5,Midwest Locomotive Leasing,MWLX,MWLX 362,GP38,Dec-67,2000.0
2272,6,Midwest Locomotive Leasing,MWLX,MWLX 518,SW1,Oct-52,600.0
2273,7,Midwest Locomotive Leasing,MWLX,MWLX 602,G11,,
2274,8,Midwest Locomotive Leasing,MWLX,MWLX 744,SW1,Sep-40,600.0
2275,9,Midwest Locomotive Leasing,MWLX,MWLX 781,EMD,Jan-50,
2276,10,Midwest Locomotive Leasing,MWLX,MWLX 824,SW1,Apr-39,600.0
2277,11,Midwest Locomotive Leasing,MWLX,MWLX 1703,Rail,Feb-56,
2278,12,Midwest Locomotive Leasing,MWLX,MWLX 1757,EMD,May-50,
2279,13,Midwest Locomotive Leasing,MWLX,MWLX 1800,EMD,1951,
2280,14,Midwest Locomotive Leasing,MWLX,MWLX 1940,SW1,Jun-40,600.0
2281,15,Midwest Locomotive Leasing,MWLX,MWLX 2000,GP38M-2,Jan-64,
2282,16,Midwest Locomotive Leasing,MWLX,MWLX 2017,EMD,Jun-53,
2283,17,Midwest Locomotive Leasing,MWLX,MWLX 2034,GP20,Oct-61,2000.0
2284,18,Midwest Locomotive Leasing,MWLX,MWLX 2153,GP7u,Feb-51,
2285,19,Midwest Locomotive Leasing,MWLX,MWLX 2250,SW1500,Nov-69,1500.0
2286,20,Midwest Locomotive Leasing,MWLX,MWLX 4127,GP7,Oct-53,1500.0
2287,21,Midwest Locomotive Leasing,MWLX,MWLX 6225,EMD,Aug-60,
2288,22,Midwest Locomotive Leasing,MWLX,MWLX 6972,SD40,May-68,3000.0
2289,23,Midwest Locomotive Leasing,MWLX,MWLX 12004,EMD,Jul-50,
2290,24,Midwest Locomotive Leasing,MWLX,4444,EMD,May-56,
2291,0,National Helm Leasing,NHL,55,SW1500,,1500.0
2292,1,National Helm Leasing,NHL,864 & 865,GP40,,3000.0
2293,2,National Helm Leasing,NHL,1013,MP15AC,,1500.0
2294,3,National Helm Leasing,NHL,3000,SD40,,3000.0
2295,4,National Helm Leasing,NHL,3013 & 3020,GP40,,3000.0
2296,5,National Helm Leasing,NHL,3074,GP40,,3000.0
2297,6,National Helm Leasing,NHL,3136 & 3144,SD45,,3600.0
2298,7,National Helm Leasing,NHL,6400,SD45,,3600.0
2299,8,National Helm Leasing,NHL,6435,SD45,,3600.0
2300,9,National Helm Leasing,NHL,"6436, 6437 & 6445",SD45,,3600.0
2301,10,National Helm Leasing,NHL,6457 & 6470,SD45,,3600.0
2302,11,National Helm Leasing,NHL,"6493, 96, 97, 6503",SD45,,3600.0
2303,12,National Helm Leasing,NHL,6510 & 6518,SD45,,3600.0
2304,13,National Helm Leasing,NHL,6559,SD45,,3600.0
2305,14,National Helm Leasing,NHL,6570,SD45,,3600.0
2306,15,National Helm Leasing,NHL,"6655, 81, 86, 89, 90, 92 94, & 95",SD45,,3600.0
2307,0,National Railway Equipment Motive Power,NRE,NREX 700,1GS7B,,
2308,1,National Railway Equipment Motive Power,NRE,NREX 1400,2GS14B/SW,,
2309,2,National Railway Equipment Motive Power,NRE,NREX 2007,2GS14B,,
2310,3,National Railway Equipment Motive Power,NRE,NREX 2008-2009,3GS21B,,
2311,4,National Railway Equipment Motive Power,NRE,NREX 2011,3GS21B,,
2312,5,National Railway Equipment Motive Power,NRE,(NREX 2013),3GS21B,,
2313,6,National Railway Equipment Motive Power,NRE,NREX 2020,2GS36-DC,,
2314,7,National Railway Equipment Motive Power,NRE,NREX 3600,2GS36-DC,,
2315,8,National Railway Equipment Motive Power,NRE,NREX 5462,SD50U,,
2316,9,National Railway Equipment Motive Power,NRE,51,GP38,,2000.0
2317,10,National Railway Equipment Motive Power,NRE,54,GP7,,1500.0
2318,11,National Railway Equipment Motive Power,NRE,99,GP9,,1750.0
2319,12,National Railway Equipment Motive Power,NRE,103,GP7,,1500.0
2320,13,National Railway Equipment Motive Power,NRE,"104, 109 & 127-29",G8,,875.0
2321,14,National Railway Equipment Motive Power,NRE,113,GP7,,1500.0
2322,15,National Railway Equipment Motive Power,NRE,203 & 206,SD38AC,,2000.0
2323,16,National Railway Equipment Motive Power,NRE,209,GP9,,1750.0
2324,17,National Railway Equipment Motive Power,NRE,224,SD40-2,,3000.0
2325,18,National Railway Equipment Motive Power,NRE,232,SD40,,3000.0
2326,19,National Railway Equipment Motive Power,NRE,251,G8,,875.0
2327,20,National Railway Equipment Motive Power,NRE,413,SD35,,2500.0
2328,21,National Railway Equipment Motive Power,NRE,"770, 773, 783 & 785",SD40-2,,3000.0
2329,22,National Railway Equipment Motive Power,NRE,900-901,SD40-2,,3000.0
2330,23,National Railway Equipment Motive Power,NRE,1049-50,C424m,,
2331,24,National Railway Equipment Motive Power,NRE,1299,GP7,,1500.0
2332,25,National Railway Equipment Motive Power,NRE,1993,B23-7,,2250.0
2333,26,National Railway Equipment Motive Power,NRE,FWWD 2013 & 2014,,,
2334,27,National Railway Equipment Motive Power,NRE,FWWD 2015 & 2018,,,
2335,28,National Railway Equipment Motive Power,NRE,"2025, 2029 & 2051",SD20,,2000.0
2336,29,National Railway Equipment Motive Power,NRE,2062-06 & 11,GT26CW,,
2337,30,National Railway Equipment Motive Power,NRE,2062-31 & 48,GT26CW,,
2338,31,National Railway Equipment Motive Power,NRE,2251,GP30,,2250.0
2339,32,National Railway Equipment Motive Power,NRE,"UP 2312, 2364, 2371",SD60M,,3800.0
2340,33,National Railway Equipment Motive Power,NRE,"UP 2381, 2392, 2437 & 2454",SD60M,,3800.0
2341,34,National Railway Equipment Motive Power,NRE,"2748, 2752 & 2761",SD40-2,,3000.0
2342,35,National Railway Equipment Motive Power,NRE,"2802, 2809 & 2902",GP49,,2800.0
2343,36,National Railway Equipment Motive Power,NRE,2940,GP50,,3500.0
2344,37,National Railway Equipment Motive Power,NRE,3152,GP40,,3000.0
2345,38,National Railway Equipment Motive Power,NRE,"3175, 3455 & 3934",SD40-2,,3000.0
2346,39,National Railway Equipment Motive Power,NRE,3333,GP50,,3500.0
2347,40,National Railway Equipment Motive Power,NRE,3401,SW1200/SW9,,
2348,41,National Railway Equipment Motive Power,NRE,3641,GP38AC,,2000.0
2349,42,National Railway Equipment Motive Power,NRE,3513 & 3514,SW1200R,,
2350,43,National Railway Equipment Motive Power,NRE,"3800-01, 04, 10, 3816-19",SD38,,2000.0
2351,44,National Railway Equipment Motive Power,NRE,4339,SD9,,1750.0
2352,45,National Railway Equipment Motive Power,NRE,4403-4406,SD40-2,,3000.0
2353,46,National Railway Equipment Motive Power,NRE,4631,GP40-2,,3000.0
