,index,Company,Abbr,Road No.,Model,Date,HP
139,82,Bruggere & Monson,BUGX,7632,GP40-2,Jan-79,3000.0
140,83,Bruggere & Monson,BUGX,7863,B30-7,Apr-79,3000.0
141,84,Bruggere & Monson,BUGX,9400,SD45T-2,Jun-75,3600.0
142,85,Bruggere & Monson,BUGX,9428,SD70MAC,,4150.0
143,86,Bruggere & Monson,BUGX,9826,SD70M,,4000.0
144,87,Bruggere & Monson,BUGX,??,S4m,,
145,0,Canac Leasing,CANX,14,SW1200RS / SW1200,Jan-57,
146,1,Canac Leasing,CANX,1206,SW1200RS / SW1200,Mar-56,
147,2,Canac Leasing,CANX,1236,SW1200RS / SW1200,Jun-56,
148,3,Canac Leasing,CANX,1272,SW1200RS / SW1200,Aug-57,
149,4,Canac Leasing,CANX,1303,SW1200RS / SW1200,May-58,
150,5,Canac Leasing,CANX,1308,SW1200RS / SW1200,Jul-58,
151,6,Canac Leasing,CANX,1323,SW1200RS / SW1200,Oct-58,
152,7,Canac Leasing,CANX,1330,SW1200RS / SW1200,Nov-58,
153,8,Canac Leasing,CANX,"1338, 1341, 1344",SW1200RS / SW1200,May-59,
154,9,Canac Leasing,CANX,"1350, 1352, 1353",SW1200RS / SW1200,Jun-59,
155,10,Canac Leasing,CANX,"1360, 1361",SW1200RS / SW1200,Apr-60,
156,11,Canac Leasing,CANX,1377,SW1200RS / SW1200,Jun-60,
157,12,Canac Leasing,CANX,"1388, 1389, 1391",SW1200RS / SW1200,Jul-60,
158,13,Canac Leasing,CANX,1395,SW1200RS / SW1200,Aug-60,
159,14,Canac Leasing,CANX,1513-1519,SW1200RS / SW1200,Mar-60,
160,15,Canac Leasing,CANX,1704,GP16,Dec-50,1600.0
161,16,Canac Leasing,CANX,7100,SW1200,Aug-56,1200.0
162,17,Canac Leasing,CANX,7101,SW1200,Feb-58,1200.0
163,18,Canac Leasing,CANX,7102,SW1200,May-56,1200.0
164,19,Canac Leasing,CANX,7103,SW1200,Jul-56,1200.0
165,20,Canac Leasing,CANX,7104,SW1200,Dec-56,1200.0
166,21,Canac Leasing,CANX,"7105, 7106",SW1200,Jan-57,1200.0
167,22,Canac Leasing,CANX,7107,SW1200,Jul-56,1200.0
168,23,Canac Leasing,CANX,7302,SW1200,Apr-60,1200.0
169,24,Canac Leasing,CANX,7307,SW1200,Aug-60,1200.0
170,25,Canac Leasing,CANX,7308,SW1200,May-60,1200.0
171,26,Canac Leasing,CANX,"7310, 7312",SW1200,Aug-56,1200.0
172,27,Canac Leasing,CANX,7317,SW1200,Jun-59,1200.0
173,28,Canac Leasing,CANX,7731,SW8,Mar-52,800.0
174,29,Canac Leasing,CANX,8302,GP10,Dec-58,1800.0
175,30,Canac Leasing,CANX,8308,GP10,May-64,1800.0
176,31,Canac Leasing,CANX,8335,GP10,May-55,1800.0
177,32,Canac Leasing,CANX,8348,GP10,Jan-56,1800.0
178,33,Canac Leasing,CANX,8355,GP10,Apr-54,1800.0
179,34,Canac Leasing,CANX,8370,GP10,Jan-57,1800.0
180,35,Canac Leasing,CANX,8464,GP10,Jan-58,1800.0
181,36,Canac Leasing,CANX,8601,GP10,Oct-59,1800.0
182,37,Canac Leasing,CANX,8604,GP10,Apr-56,1800.0
183,38,Canac Leasing,CANX,"8700, 8701",S13m,Oct-59,
184,39,Canac Leasing,CANX,"8702, 8703",S13m,5-May,
185,40,Canac Leasing,CANX,8704,S13m,,
186,41,Canac Leasing,CANX,8705,S13m,Oct-59,
187,42,Canac Leasing,CANX,8706,S13m,Feb-59,
188,43,Canac Leasing,CANX,"8708, 8709",S13m,Feb-59,
189,44,Canac Leasing,CANX,8711,S13m,Jan-59,
190,45,Canac Leasing,CANX,8734,GP11,Oct-57,
191,0,CIT Rail Resources,CITX,CEFX 56 & 57,GP40-2,Jun-98,3000.0
192,1,CIT Rail Resources,CITX,CEFX 100-131,SD90MAC/4300,Jan-99,
193,2,CIT Rail Resources,CITX,CEFX 132-139,SD90MAC/4300,Jan-00,
194,3,CIT Rail Resources,CITX,"CEFX 104, 105, 118, 120, 120-122, 124-126, 135 and 138 were sold to become NS SD70ACUs #7329-7339",SD90MAC/4300,,
195,4,CIT Rail Resources,CITX,CITX 140,SD70M-2,4-Oct,4300.0
196,5,CIT Rail Resources,CITX,CITX 141 & 142,SD70M-2,4-Nov,4300.0
197,6,CIT Rail Resources,CITX,CEFX 400-402,GP38-2,Mar-79,2000.0
198,7,CIT Rail Resources,CITX,CEFX 403,GP38-2,Jul-70,2000.0
199,8,CIT Rail Resources,CITX,CEFX 404,GP38-2,Sep-70,2000.0
200,9,CIT Rail Resources,CITX,CEFX 405,GP38-2,Nov-67,2000.0
201,10,CIT Rail Resources,CITX,CEFX 406,GP38-2,Jul-70,2000.0
202,11,CIT Rail Resources,CITX,CEFX 408,GP38-2,Oct-67,2000.0
203,12,CIT Rail Resources,CITX,CEFX 407,GP38-2,Nov-67,2000.0
204,13,CIT Rail Resources,CITX,CEFX 409,GP38-2,Sep-69,2000.0
205,14,CIT Rail Resources,CITX,CEFX 410,GP38-2,May-73,2000.0
206,15,CIT Rail Resources,CITX,CEFX 411,GP38-2,Sep-69,2000.0
207,16,CIT Rail Resources,CITX,CEFX 414,GP38-2,Sep-69,2000.0
208,17,CIT Rail Resources,CITX,CEFX 1001-1025,AC4400CW,1-Nov,
209,18,CIT Rail Resources,CITX,CEFX 1026-1059,AC4400CW,4-Sep,
210,19,CIT Rail Resources,CITX,CEFX 1421,MP15DC,Jul-77,1500.0
211,20,CIT Rail Resources,CITX,CEFX 1430,MP15DC,Oct-74,1500.0
212,21,CIT Rail Resources,CITX,CEFX 1437,MP15DC,Apr-82,1500.0
213,22,CIT Rail Resources,CITX,CEFX 1439,MP15DC,Apr-82,1500.0
214,23,CIT Rail Resources,CITX,CEFX 1501-1510,GP-15D,Dec-00,
215,24,CIT Rail Resources,CITX,CEFX 1520,MP15DC,Jun-77,1500.0
216,25,CIT Rail Resources,CITX,CEFX 1521-1523,MP15DC,,1500.0
217,26,CIT Rail Resources,CITX,CEFX 1524,MP15DC,Oct-74,1500.0
218,27,CIT Rail Resources,CITX,CEFX 1525,MP15DC,Oct-74,1500.0
219,28,CIT Rail Resources,CITX,CEFX 1526 & 1527,MP15DC,Oct-74,1500.0
220,29,CIT Rail Resources,CITX,"CEFX 1528, 1529 & 1531",MP15DC,Sep-74,1500.0
221,30,CIT Rail Resources,CITX,CEFX 1532,MP15DC,Jul-77,1500.0
222,31,CIT Rail Resources,CITX,CEFX 1533-1535,MP15DC,Oct-79,1500.0
223,32,CIT Rail Resources,CITX,CEFX 1536-1540,MP15DC,Apr-82,1500.0
224,33,CIT Rail Resources,CITX,CEFX 1541-1546,MP15DC,Apr-82,1500.0
225,34,CIT Rail Resources,CITX,CEFX 1547,MP15DC,Nov-79,1500.0
226,35,CIT Rail Resources,CITX,CEFX 1548,MP15DC,Dec-78,1500.0
227,36,CIT Rail Resources,CITX,CEFX 1552 & 1553,SW1500,Sep-73,1500.0
228,37,CIT Rail Resources,CITX,CEFX 1554 & 1555,SW1500,Sep-73,1500.0
229,38,CIT Rail Resources,CITX,CEFX 1556 & 1557,SW1500,Sep-73,1500.0
230,39,CIT Rail Resources,CITX,CEFX 1558,SW1500,Nov-68,1500.0
231,40,CIT Rail Resources,CITX,CEFX 1559,SW1500,Nov-68,1500.0
232,41,CIT Rail Resources,CITX,CEFX 1560 & 1561,SW1500,Oct-67,1500.0
233,42,CIT Rail Resources,CITX,CEFX 1562,SW1500,Oct-67,1500.0
