0,1,2,3,4
"SW1200 (EMD)
RMPX 9354
24132
11/57
Ex-Conrail 9354 < PC 9354 < nee PRR 7900","RMPX 9354
24132
11/57
Ex-Conrail 9354 < PC 9354 < nee PRR 7900","24132
11/57
Ex-Conrail 9354 < PC 9354 < nee PRR 7900","11/57
Ex-Conrail 9354 < PC 9354 < nee PRR 7900",Ex-Conrail 9354 < PC 9354 < nee PRR 7900
"GP40-2LW / GP40-2W (GMDD)
RMPX 9404, 06, 13 & 20
A2982, 84, 91 & 98
3-4/75
Ex-CN  9404, 9406, 9413 & 9420","RMPX 9404, 06, 13 & 20
A2982, 84, 91 & 98
3-4/75
Ex-CN  9404, 9406, 9413 & 9420","A2982, 84, 91 & 98
3-4/75
Ex-CN  9404, 9406, 9413 & 9420","3-4/75
Ex-CN  9404, 9406, 9413 & 9420","Ex-CN  9404, 9406, 9413 & 9420"
"RMPX 9426, 31 & 41-43
A3004, 09 & 19-21
5-6/74
Ex-CN 9426, 9431 & 9441-43","A3004, 09 & 19-21
5-6/74
Ex-CN 9426, 9431 & 9441-43","5-6/74
Ex-CN 9426, 9431 & 9441-43","Ex-CN 9426, 9431 & 9441-43",
"RMPX 9457, 64, 85 & 90
A3035, 42, 63 & 68
6-8/74
Ex-CN 9457, 9464, 9485 & 9490","A3035, 42, 63 & 68
6-8/74
Ex-CN 9457, 9464, 9485 & 9490","6-8/74
Ex-CN 9457, 9464, 9485 & 9490","Ex-CN 9457, 9464, 9485 & 9490",
"RMPX 9504, 05, 14, 20
A3082-83, 92 & 98
9-10/74
Ex-CN 9504, 9505, 9514 & 9520","A3082-83, 92 & 98
9-10/74
Ex-CN 9504, 9505, 9514 & 9520","9-10/74
Ex-CN 9504, 9505, 9514 & 9520","Ex-CN 9504, 9505, 9514 & 9520",
"RMPX 9578, 9603 & 9610
A3213, 3238, 3245
6, 8/75
Ex-CN 9578, 9603 & 9610","A3213, 3238, 3245
6, 8/75
Ex-CN 9578, 9603 & 9610","6, 8/75
Ex-CN 9578, 9603 & 9610","Ex-CN 9578, 9603 & 9610",
"RMPX 9637, 9638 & 9645
A3432, 33 & 40
3/76
GP40-2W, ex-CN 9637, 9638 & 9645","A3432, 33 & 40
3/76
GP40-2W, ex-CN 9637, 9638 & 9645","3/76
GP40-2W, ex-CN 9637, 9638 & 9645","GP40-2W, ex-CN 9637, 9638 & 9645",
"RMPX 9658 & 61
A3453 & 3456
7/56
GP40-2W, ex-CN 9658 & 9661","A3453 & 3456
7/56
GP40-2W, ex-CN 9658 & 9661","7/56
GP40-2W, ex-CN 9658 & 9661","GP40-2W, ex-CN 9658 & 9661",
"GP38 (EMD)
RMGX 9706-9708
35394, 35444, 35416
8, 11, 10/69
Ex-Illinois Central 2006-2008 < CC&P 2006-2008 < GWWR 2026, 2046 & 2034 < CR 7765, 7815 & 7787 < nee PC 7765, 7815 & 7787","RMGX 9706-9708
35394, 35444, 35416
8, 11, 10/69
Ex-Illinois Central 2006-2008 < CC&P 2006-2008 < GWWR 2026, 2046 & 2034 < CR 7765, 7815 & 7787 < nee PC 7765, 7815 & 7787","35394, 35444, 35416
8, 11, 10/69
Ex-Illinois Central 2006-2008 < CC&P 2006-2008 < GWWR 2026, 2046 & 2034 < CR 7765, 7815 & 7787 < nee PC 7765, 7815 & 7787","8, 11, 10/69
Ex-Illinois Central 2006-2008 < CC&P 2006-2008 < GWWR 2026, 2046 & 2034 < CR 7765, 7815 & 7787 < nee PC 7765, 7815 & 7787","Ex-Illinois Central 2006-2008 < CC&P 2006-2008 < GWWR 2026, 2046 & 2034 < CR 7765, 7815 & 7787 < nee PC 7765, 7815 & 7787"
"RMGX/RMPX Dispositions:
RMGX 2001 to TP&W 3878
RMGX 2002-2004, 2007 to ASRY 2022-2024, 2027
RMGX 4002-4005 to Heart of Georgia same #s
RMGX 9307 to Heart of Georgia #1540
RMPX 9505 to K.R.T. 1100

Locomotive data provided by Michael Richmond.

Thanks to the following contributors/sources: Paul Amos, Ken Ardinger, Simon Jacques Belanger, Joseph Belote,  
James Bradley, Harold Dunton, Gilbert Elmond,  Jeff Horstman, Bruce Kerr, John Komanesky, John Krattinger, Henry Mikus, 
Wayne Kuhl, Clayton Notgrass, Bill Sica, Mike Swick, and Craig Zeni. 

Reference sources: RRpicturesarchive.net",,,,
