Company,Abbr,Model,Road No.,Date
WATCO,WAMX,GP38-2,WAMX 3877,Dec-72
WATCO,WAMX,GP38-2,WAMX 3878,Dec-73
WATCO,WAMX,GP38,WAMX 3879,Oct-69
WATCO,WAMX,GP38-2,WAMX 3880,May-72
WATCO,WAMX,GP38-2,WAMX 3881,May-72
WATCO,WAMX,GP38-2,WAMX 3882,Jul-72
WATCO,WAMX,GP38-1,WAMX 3883,Jan-64
WATCO,WAMX,GP38-2,WAMX 3885,Nov-79
WATCO,WAMX,GP38-2,WAMX 3886,Nov-79
WATCO,WAMX,GP38-2,WAMX 3887,Nov-79
WATCO,WAMX,GP38-2,WAMX 3888,Nov-79
WATCO,WAMX,GP38-2,WAMX 3889,Dec-79
WATCO,WAMX,GP38-2,WAMX 3890,Dec-79
WATCO,WAMX,GP38-2,WAMX 3891,Dec-79
WATCO,WAMX,GP38-2,WAMX 3892,Dec-79
WATCO,WAMX,GP38-2,WAMX 3893,Dec-79
WATCO,WAMX,GP38-2,WAMX 3894,Dec-79
WATCO,WAMX,GP38-2,WAMX 3895,Dec-79
WATCO,WAMX,GP38-2,WAMX 3896,Feb-72
WATCO,WAMX,GP38-2,WAMX 3897,Feb-73
WATCO,WAMX,GP38-2,WAMX 3898,Feb-73
WATCO,WAMX,SD38-2,WAMX 3899,Dec-73
WATCO,WAMX,GP39-2,WAMX 3900,Feb-64
WATCO,WAMX,GP39-2,WAMX 3901,May-65
WATCO,WAMX,GP39-2,WAMX 3902,Mar-65
WATCO,WAMX,GP39-2,WAMX 3903,Feb-64
WATCO,WAMX,GP39-2,WAMX 3904,Jan-65
WATCO,WAMX,GP39-2,WAMX 3905,Jan-65
WATCO,WAMX,GP39-2,WAMX 3906,Jan-65
WATCO,WAMX,GP39-2,WAMX 3907,Sep-64
WATCO,WAMX,GP39-2,WAMX 3908,Aug-64
WATCO,WAMX,GP39-2,WAMX 3909,Aug-64
WATCO,WAMX,GP39-2,WAMX 3910,Dec-63
WATCO,WAMX,GP39-2,WAMX 3911,Aug-64
WATCO,WAMX,GP39-2,WAMX 3912,Jul-65
WATCO,WAMX,GP39-2,WAMX 3913,Apr-65
WATCO,WAMX,GP39-2,WAMX 3914,May-64
WATCO,WAMX,GP39-2,WAMX 3915,Jun-64
WATCO,WAMX,GP39-2,WAMX 3916,Jun-64
WATCO,WAMX,GP39-2,WAMX 3917,Nov-65
WATCO,WAMX,GP39-2,WAMX 3918,Feb-65
WATCO,WAMX,GP39-2,WAMX 3919,May-64
WATCO,WAMX,GP39-2,WAMX 3920,Jul-64
WATCO,WAMX,GP39-2,WAMX 3921,Nov-63
WATCO,WAMX,GP39-2,WAMX 3922,Apr-65
WATCO,WAMX,GP39-2,WAMX 3923,Apr-65
WATCO,WAMX,GP39-2,WAMX 3924,May-65
WATCO,WAMX,GP39-2,WAMX 3925,Apr-84
WATCO,WAMX,GP39-2,WAMX 3926,Apr-84
WATCO,WAMX,GP39-2,WAMX 3927,Apr-84
WATCO,WAMX,GP39-2,WAMX 3928,Mar-76
WATCO,WAMX,GP39-2,WAMX 3929,Mar-76
WATCO,WAMX,GP39-2,WAMX 3930,Mar-76
