Company,Abbr,Model,Road No.,Date
National Railway Equipment Motive Power,NRE,SD20,Illinois Central 2038,
National Railway Equipment Motive Power,NRE,GP10,IC 8171 & 8413,
National Railway Equipment Motive Power,NRE,GP11,"IC 8738 , 8740 & 8748",
National Railway Equipment Motive Power,NRE,GP18,IC 9428,
National Railway Equipment Motive Power,NRE,SD20,Iowa Interstate 2039,
National Railway Equipment Motive Power,NRE,SD40-3,"Kansas City Sou 600, 634 & 641",
National Railway Equipment Motive Power,NRE,SD50,KCS 706,
National Railway Equipment Motive Power,NRE,SD40-2,"KCS 1407, 09-10 & 29",
National Railway Equipment Motive Power,NRE,SD40-2,KCS 6100,
National Railway Equipment Motive Power,NRE,DL532B,Korean National 3241,
National Railway Equipment Motive Power,NRE,SD40-2,"LLPX 3101, 3103-04 & 3107-08",
National Railway Equipment Motive Power,NRE,F40C,Metra 610,
National Railway Equipment Motive Power,NRE,F40PH,"Montana Rail Link 317, 333 & 359",
National Railway Equipment Motive Power,NRE,SD40,Motive Power Resources 1601,
National Railway Equipment Motive Power,NRE,GP18,MS 1801,
National Railway Equipment Motive Power,NRE,SD50,NS 6524,
National Railway Equipment Motive Power,NRE,B39-8,NS 8610,
National Railway Equipment Motive Power,NRE,GP35,PRSX 1009,
National Railway Equipment Motive Power,NRE,B23-7,Power Source Supply 4000s,
National Railway Equipment Motive Power,NRE,SD40,RLCX 3002,
National Railway Equipment Motive Power,NRE,SD50,RLCX 3051,
National Railway Equipment Motive Power,NRE,SD40-2,RLCX 3058,
National Railway Equipment Motive Power,NRE,B39-8,RLCX 8500s,
National Railway Equipment Motive Power,NRE,B39-8,RLCX 8500s,
National Railway Equipment Motive Power,NRE,GP9,"Southern Pacific 3344, 3835",
National Railway Equipment Motive Power,NRE,SD45T-2,SP 6811 & 6876,
National Railway Equipment Motive Power,NRE,SD40-2,SP 7328,
National Railway Equipment Motive Power,NRE,SD45T-2,SP 7401,
National Railway Equipment Motive Power,NRE,SD45T-2,"SP 9270, 9294 & 9323",
National Railway Equipment Motive Power,NRE,F7A,Texas Southern 407,
National Railway Equipment Motive Power,NRE,Road,Trans-Kentucky Transportation 2078,
National Railway Equipment Motive Power,NRE,GP40,Union Pacific 667,
