Company,Abbr,Road No.,Model,Date
CIT Rail Resources,CITX,CEFX 6403,SD40-2,Nov-78
CIT Rail Resources,CITX,CEFX 6407,SD40-2,Dec-78
CIT Rail Resources,CITX,CEFX 6409,SD40-2,
CIT Rail Resources,CITX,CEFX 6671,GP38-3,Jun-65
CIT Rail Resources,CITX,CEFX 7108,SD40-2,Dec-78
CIT Rail Resources,CITX,CEFX 8506,B39-8E,Oct-87
CIT Rail Resources,CITX,CEFX 8531,B39-8E,Mar-88
CIT Rail Resources,CITX,"CEFX 8585, 91 & 96-97",B39-8E,Apr-88
CIT Rail Resources,CITX,CEFX 9194,SD45T-2,Mar-72
CIT Rail Resources,CITX,"CEFX 9243, 9245 & 9254",SD45T-2,Jun-72
CIT Rail Resources,CITX,"CEFX 9273, 9282 & 9294",SD45T-2,Mar-73
CIT Rail Resources,CITX,"CEFX 9300, 9308",SD45T-2,Mar-73
CIT Rail Resources,CITX,"CEFX 9328, 9330, 9333 & 9337",SD45T-2,Feb-74
CIT Rail Resources,CITX,"CEFX 9345, 9347 & 9359",SD45T-2,Feb-75
CIT Rail Resources,CITX,CEFX 9362-63,SD45T-2,Feb-75
CIT Rail Resources,CITX,"CEFX 9373, 75 & 85",SD45T-2,Mar-75
CIT Rail Resources,CITX,CEFX 9391-95,SD45T-2,Jun-75
CIT Rail Resources,CITX,CEFX 9400-9402,SD45T-2,Jun-75
CIT Rail Resources,CITX,CEFX 9486,SD45T-2,Mar-69
CIT Rail Resources,CITX,CEFX 9500,SD45T-2,Aug-66
